# Biblical Hebrew poetic-parallelism word pairs — two tiers. tomim_confirmed: expert-
# verified (Berlin/Fokkelman/Kugel/Watson/Tsumura via T'OMIM, CC BY 4.0, DOI 10.5281/zenodo.19135731). detected: our own BHSA half_verse extraction (Psalms/Proverbs/Job
# only, min_verses>=3), not found in T'OMIM (T'OMIM is a curated sample, not exhaustive — absence isn't evidence against a pair). Independent of UBS MARBLE and Hebrew
# WordNet; the LLM signal is used only to LABEL relation, never to find pairs. `relation`:
# likely_synonym / likely_antonym / unclassified (parallelism found it, LLM has no opinion).
# See build_parallelism_pairs.py.
strong_a	strong_b	tier	evidence	relation	sample_ref
H1366	H7725	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
H0341	H7725	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
H0341	H1121	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
H0341	H1366	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
H0776	H7725	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
H0776	H1121	tomim_confirmed	pair_id=168	unclassified	Psalms 33:13
H0776	H1366	tomim_confirmed	pair_id=58	unclassified	Jeremiah 31:16
H2142	H7911	tomim_confirmed	pair_id=59	likely_antonym	Psalms 137:5
H3225	H3956	tomim_confirmed	pair_id=60	unclassified	Psalms 137:5
H2441	H3225	tomim_confirmed	pair_id=60	unclassified	Psalms 137:5
H1692	H3225	tomim_confirmed	pair_id=60	unclassified	Psalms 137:5
H3956	H7911	tomim_confirmed	pair_id=60	unclassified	Psalms 137:5
H2441	H7911	tomim_confirmed	pair_id=60	unclassified	Psalms 137:5
H1692	H7911	tomim_confirmed	pair_id=60	unclassified	Psalms 137:5
H0001	H3117	tomim_confirmed	pair_id=61	unclassified	Joel 1:2
H0001	H1961	tomim_confirmed	pair_id=61	unclassified	Joel 1:2
H3629	H3820	tomim_confirmed	pair_id=62	likely_synonym	Proverbs 23:15
H3820	H5921	tomim_confirmed	pair_id=62	unclassified	Proverbs 23:15
H3629	H8056	tomim_confirmed	pair_id=62	unclassified	Proverbs 23:15
H5921	H8056	tomim_confirmed	pair_id=62	unclassified	Proverbs 23:15
H1696	H3820	tomim_confirmed	pair_id=63	unclassified	Proverbs 23:15
H3820	H8193	tomim_confirmed	pair_id=63	unclassified	Proverbs 23:15
H1696	H2449	tomim_confirmed	pair_id=63	unclassified	Proverbs 23:15
H2449	H8193	tomim_confirmed	pair_id=63	unclassified	Proverbs 23:15
H1121	H1696	tomim_confirmed	pair_id=63	unclassified	Proverbs 23:15
H1121	H8193	tomim_confirmed	pair_id=63	unclassified	Proverbs 23:15
H2022	H6963	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H2022	H7311	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H2022	H3581	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H1364	H6963	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H1364	H7311	tomim_confirmed	pair_id=64	likely_synonym	Isaiah 40:9
H1364	H3581	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H5927	H6963	tomim_confirmed	pair_id=189	unclassified	Psalms 47:6
H5927	H7311	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H3581	H5927	tomim_confirmed	pair_id=64	unclassified	Isaiah 40:9
H0571	H3559	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H0168	H3559	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H3427	H3559	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H0571	H2617	tomim_confirmed	pair_id=65	likely_synonym	Isaiah 16:5
H0168	H2617	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H2617	H3427	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H0571	H3678	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H0168	H3678	tomim_confirmed	pair_id=65	unclassified	Isaiah 16:5
H7775	H8085	tomim_confirmed	pair_id=67	unclassified	Psalms 102:2
H0238	H8085	tomim_confirmed	pair_id=152	likely_synonym	Job 34:2
H7775	H8605	tomim_confirmed	pair_id=67	unclassified	Psalms 102:2
H0238	H8605	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H0935	H8085	tomim_confirmed	pair_id=67	unclassified	Psalms 102:2
H0935	H8605	tomim_confirmed	pair_id=67	unclassified	Psalms 102:2
H5956	H8605	tomim_confirmed	pair_id=68	unclassified	Psalms 55:2
H8467	H8605	tomim_confirmed	pair_id=252	likely_synonym	Psalms 6:10
H0238	H5956	tomim_confirmed	pair_id=68	unclassified	Psalms 55:2
H0238	H8467	tomim_confirmed	pair_id=68	unclassified	Psalms 55:2
H0430	H5956	tomim_confirmed	pair_id=68	unclassified	Psalms 55:2
H0430	H8467	tomim_confirmed	pair_id=68	unclassified	Psalms 55:2
H0238	H8469	tomim_confirmed	pair_id=69	unclassified	Psalms 86:6
H0238	H6963	tomim_confirmed	pair_id=69	unclassified	Psalms 86:6
H8469	H8605	tomim_confirmed	pair_id=69	likely_synonym	Psalms 86:6
H6963	H8605	tomim_confirmed	pair_id=69	unclassified	Psalms 86:6
H6223	H7682	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H2346	H6223	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H4906	H6223	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H7151	H7682	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H2346	H7151	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H4906	H7151	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H5797	H7682	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H2346	H5797	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H4906	H5797	tomim_confirmed	pair_id=70	unclassified	Proverbs 18:11
H2143	H3427	tomim_confirmed	pair_id=71	unclassified	Psalms 102:13
H2143	H5769	tomim_confirmed	pair_id=134	unclassified	Psalms 135:13
H3027	H4912	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H3027	H3686	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H3027	H6310	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H4912	H7910	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H3686	H7910	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H6310	H7910	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H4912	H5927	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H3686	H5927	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H5927	H6310	tomim_confirmed	pair_id=72	unclassified	Proverbs 26:9
H4818	H7130	tomim_confirmed	pair_id=73	unclassified	Micah 5:9
H0006	H7130	tomim_confirmed	pair_id=73	unclassified	Micah 5:9
H3772	H4818	tomim_confirmed	pair_id=73	unclassified	Micah 5:9
H0006	H3772	tomim_confirmed	pair_id=73	likely_synonym	Micah 5:9
H4818	H5483	tomim_confirmed	pair_id=73	likely_synonym	Micah 5:9
H0006	H5483	tomim_confirmed	pair_id=73	unclassified	Micah 5:9
H0413	H6697	tomim_confirmed	pair_id=74	unclassified	2 Samuel 22:32
H0413	H0430	tomim_confirmed	pair_id=74	unclassified	2 Samuel 22:32
H1062	H1293	tomim_confirmed	pair_id=75	unclassified	Genesis 27:36
H1062	H3947	tomim_confirmed	pair_id=75	unclassified	Genesis 27:36
H1293	H3947	tomim_confirmed	pair_id=75	unclassified	Genesis 27:36
H6605	H8415	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H8064	H8415	tomim_confirmed	pair_id=76	likely_antonym	Genesis 7:11
H0699	H8415	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H1234	H6605	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H1234	H8064	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H0699	H1234	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H6605	H7227	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H7227	H8064	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H0699	H7227	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H3605	H6605	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H3605	H8064	tomim_confirmed	pair_id=168	unclassified	Psalms 33:13
H0699	H3605	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H4599	H6605	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H4599	H8064	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H0699	H4599	tomim_confirmed	pair_id=76	unclassified	Genesis 7:11
H0218	H8574	tomim_confirmed	pair_id=77	unclassified	Isaiah 31:9
H0759	H2426	tomim_confirmed	pair_id=78	unclassified	Psalms 122:7
H2426	H7962	tomim_confirmed	pair_id=78	unclassified	Psalms 122:7
H0759	H7965	tomim_confirmed	pair_id=78	unclassified	Psalms 122:7
H7962	H7965	tomim_confirmed	pair_id=78	likely_synonym	Psalms 122:7
H0759	H1961	tomim_confirmed	pair_id=78	unclassified	Psalms 122:7
H1961	H7962	tomim_confirmed	pair_id=78	unclassified	Psalms 122:7
H4325	H8432	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H4325	H5140	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H0875	H4325	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H8354	H8432	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H5140	H8354	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H0875	H8354	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H0953	H8432	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H0953	H5140	tomim_confirmed	pair_id=79	unclassified	Proverbs 5:15
H0875	H0953	tomim_confirmed	pair_id=79	likely_synonym	Proverbs 5:15
H2401	H5375	tomim_confirmed	pair_id=80	unclassified	Psalms 32:1
H3680	H5375	tomim_confirmed	pair_id=80	unclassified	Psalms 32:1
H0835	H2401	tomim_confirmed	pair_id=80	unclassified	Psalms 32:1
H0835	H3680	tomim_confirmed	pair_id=80	unclassified	Psalms 32:1
H2401	H6588	tomim_confirmed	pair_id=80	likely_synonym	Psalms 32:1
H3680	H6588	tomim_confirmed	pair_id=80	unclassified	Psalms 32:1
H4964	H7626	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H3686	H4964	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H1460	H4964	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H2543	H7626	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H2543	H3686	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H1460	H2543	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H5483	H7626	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H3686	H5483	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H1460	H5483	tomim_confirmed	pair_id=81	unclassified	Proverbs 26:3
H3318	H4941	tomim_confirmed	pair_id=82	unclassified	Psalms 37:6
H3318	H6672	tomim_confirmed	pair_id=82	unclassified	Psalms 37:6
H4941	H6664	tomim_confirmed	pair_id=82	likely_synonym	Psalms 37:6
H6664	H6672	tomim_confirmed	pair_id=82	unclassified	Psalms 37:6
H0216	H4941	tomim_confirmed	pair_id=82	unclassified	Psalms 37:6
H0216	H6672	tomim_confirmed	pair_id=82	unclassified	Psalms 37:6
H3467	H5826	tomim_confirmed	pair_id=83	likely_synonym	Job 26:2
H2220	H5826	tomim_confirmed	pair_id=83	unclassified	Job 26:2
H5797	H5826	tomim_confirmed	pair_id=83	unclassified	Job 26:2
H3467	H3581	tomim_confirmed	pair_id=83	unclassified	Job 26:2
H2220	H3581	tomim_confirmed	pair_id=83	unclassified	Job 26:2
H3581	H5797	tomim_confirmed	pair_id=83	likely_synonym	Job 26:2
H2451	H4725	tomim_confirmed	pair_id=84	unclassified	Job 28:20
H0998	H2451	tomim_confirmed	pair_id=219	likely_synonym	Isaiah 29:14
H0935	H4725	tomim_confirmed	pair_id=84	unclassified	Job 28:20
H0935	H0998	tomim_confirmed	pair_id=84	unclassified	Job 28:20
H6779	H7646	tomim_confirmed	pair_id=85	unclassified	Job 38:27
H1877	H7646	tomim_confirmed	pair_id=85	unclassified	Job 38:27
H4161	H7646	tomim_confirmed	pair_id=85	unclassified	Job 38:27
H5785	H6106	tomim_confirmed	pair_id=86	unclassified	Lamentations 3:4
H5785	H7665	tomim_confirmed	pair_id=86	unclassified	Lamentations 3:4
H1320	H6106	tomim_confirmed	pair_id=86	likely_synonym	Lamentations 3:4
H1320	H7665	tomim_confirmed	pair_id=86	unclassified	Lamentations 3:4
H1086	H6106	tomim_confirmed	pair_id=86	unclassified	Lamentations 3:4
H1086	H7665	tomim_confirmed	pair_id=86	unclassified	Lamentations 3:4
H7909	H8382	tomim_confirmed	pair_id=87	unclassified	Song of Solomon 4:2
H3605	H7909	tomim_confirmed	pair_id=87	unclassified	Song of Solomon 4:2
H0928	H1893	tomim_confirmed	pair_id=88	unclassified	Psalms 78:33
H1893	H8141	tomim_confirmed	pair_id=88	unclassified	Psalms 78:33
H0928	H3117	tomim_confirmed	pair_id=88	unclassified	Psalms 78:33
H3039	H7892	tomim_confirmed	pair_id=89	unclassified	Isaiah 5:1
H3039	H3754	tomim_confirmed	pair_id=89	unclassified	Isaiah 5:1
H1730	H3039	tomim_confirmed	pair_id=89	likely_synonym	Isaiah 5:1
H7891	H7892	tomim_confirmed	pair_id=170	likely_synonym	Psalms 96:1
H3754	H7891	tomim_confirmed	pair_id=89	unclassified	Isaiah 5:1
H1730	H7891	tomim_confirmed	pair_id=89	unclassified	Isaiah 5:1
H1121	H3039	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H3039	H7161	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H3039	H8081	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H1121	H3754	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H3754	H7161	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H3754	H8081	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H1121	H1961	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H1961	H7161	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H1961	H8081	tomim_confirmed	pair_id=90	unclassified	Isaiah 5:1
H6455	H7442	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H3956	H6455	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H0483	H6455	tomim_confirmed	pair_id=91	likely_synonym	Isaiah 35:6
H1801	H7442	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H1801	H3956	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H0483	H1801	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H0354	H7442	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H0354	H3956	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H0354	H0483	tomim_confirmed	pair_id=91	unclassified	Isaiah 35:6
H4057	H5158	tomim_confirmed	pair_id=92	unclassified	Isaiah 35:6
H4057	H6160	tomim_confirmed	pair_id=111	likely_synonym	Isaiah 40:3
H4325	H5158	tomim_confirmed	pair_id=92	likely_synonym	Isaiah 35:6
H4325	H6160	tomim_confirmed	pair_id=92	unclassified	Isaiah 35:6
H1234	H5158	tomim_confirmed	pair_id=92	unclassified	Isaiah 35:6
H1234	H6160	tomim_confirmed	pair_id=92	unclassified	Isaiah 35:6
H1004	H4933	tomim_confirmed	pair_id=93	unclassified	Zephaniah 1:13
H4933	H8077	tomim_confirmed	pair_id=93	unclassified	Zephaniah 1:13
H1004	H1961	tomim_confirmed	pair_id=93	unclassified	Zephaniah 1:13
H1961	H8077	tomim_confirmed	pair_id=192	unclassified	Isaiah 64:9
H1004	H2428	tomim_confirmed	pair_id=93	unclassified	Zephaniah 1:13
H2428	H8077	tomim_confirmed	pair_id=93	unclassified	Zephaniah 1:13
H1129	H5193	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1129	H3196	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1129	H3754	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1129	H8354	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H3427	H5193	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H3196	H3427	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H3427	H3754	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H3427	H8354	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1004	H5193	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1004	H3196	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1004	H3754	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H1004	H8354	tomim_confirmed	pair_id=94	unclassified	Zephaniah 1:13
H6440	H7307	tomim_confirmed	pair_id=95	unclassified	Psalms 139:7
H1272	H7307	tomim_confirmed	pair_id=95	unclassified	Psalms 139:7
H1980	H6440	tomim_confirmed	pair_id=95	unclassified	Psalms 139:7
H1272	H1980	tomim_confirmed	pair_id=95	unclassified	Psalms 139:7
H4421	H5699	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H4421	H7198	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0784	H4421	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H4421	H7665	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H2595	H4421	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H4421	H8313	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H4421	H7112	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H5699	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H7198	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H0784	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H7665	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H2595	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H8313	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0776	H7112	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H5699	H7673	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7198	H7673	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0784	H7673	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7665	H7673	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H2595	H7673	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7673	H8313	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7112	H7673	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H5699	H7097	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7097	H7198	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H0784	H7097	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7097	H7665	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H2595	H7097	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7097	H8313	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H7097	H7112	tomim_confirmed	pair_id=96	unclassified	Psalms 46:10
H1697	H7971	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H4120	H7971	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H7323	H7971	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H0776	H1697	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H0776	H4120	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H0776	H7323	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H0565	H1697	tomim_confirmed	pair_id=97	likely_synonym	Psalms 147:15
H0565	H4120	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H0565	H7323	tomim_confirmed	pair_id=97	unclassified	Psalms 147:15
H6342	H6343	tomim_confirmed	pair_id=98	unclassified	Job 4:14
H6106	H6343	tomim_confirmed	pair_id=98	unclassified	Job 4:14
H6343	H7230	tomim_confirmed	pair_id=98	unclassified	Job 4:14
H3639	H4598	tomim_confirmed	pair_id=99	unclassified	Psalms 109:29
H1322	H3639	tomim_confirmed	pair_id=99	likely_synonym	Psalms 109:29
H3639	H5844	tomim_confirmed	pair_id=99	unclassified	Psalms 109:29
H3847	H4598	tomim_confirmed	pair_id=99	unclassified	Psalms 109:29
H1322	H3847	tomim_confirmed	pair_id=99	unclassified	Psalms 109:29
H3847	H5844	tomim_confirmed	pair_id=99	likely_synonym	Psalms 109:29
H1433	H1984	tomim_confirmed	pair_id=100	unclassified	Psalms 150:2
H1984	H7230	tomim_confirmed	pair_id=100	unclassified	Psalms 150:2
H1369	H1984	tomim_confirmed	pair_id=100	unclassified	Psalms 150:2
H1369	H1433	tomim_confirmed	pair_id=100	unclassified	Psalms 150:2
H1369	H7230	tomim_confirmed	pair_id=100	unclassified	Psalms 150:2
H0561	H8085	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H6310	H8085	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H0561	H8605	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H6310	H8605	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H0238	H0430	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H0430	H0561	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H0430	H6310	tomim_confirmed	pair_id=101	unclassified	Psalms 54:4
H8085	H8605	tomim_confirmed	pair_id=252	unclassified	Psalms 6:10
H7440	H8605	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H0430	H8605	tomim_confirmed	pair_id=103	unclassified	Psalms 66:19
H6963	H8085	tomim_confirmed	pair_id=199	unclassified	Habakkuk 3:16
H0430	H6963	tomim_confirmed	pair_id=189	unclassified	Psalms 47:6
H6440	H7440	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H0241	H6440	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H5186	H6440	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H0935	H7440	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H0241	H0935	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H0935	H5186	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H0241	H8605	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H5186	H8605	tomim_confirmed	pair_id=104	unclassified	Psalms 88:3
H3467	H5337	tomim_confirmed	pair_id=251	likely_synonym	Psalms 59:3
H0241	H5337	tomim_confirmed	pair_id=106	unclassified	Psalms 71:2
H5186	H5337	tomim_confirmed	pair_id=106	unclassified	Psalms 71:2
H3467	H6666	tomim_confirmed	pair_id=106	unclassified	Psalms 71:2
H0241	H6666	tomim_confirmed	pair_id=106	unclassified	Psalms 71:2
H5186	H6666	tomim_confirmed	pair_id=106	unclassified	Psalms 71:2
H0530	H8469	tomim_confirmed	pair_id=107	unclassified	Psalms 143:1
H6030	H8469	tomim_confirmed	pair_id=107	unclassified	Psalms 143:1
H6666	H8469	tomim_confirmed	pair_id=107	unclassified	Psalms 143:1
H0238	H0530	tomim_confirmed	pair_id=107	unclassified	Psalms 143:1
H0238	H6030	tomim_confirmed	pair_id=107	unclassified	Psalms 143:1
H0238	H6666	tomim_confirmed	pair_id=107	unclassified	Psalms 143:1
H6212	H6529	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0127	H6212	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0398	H6212	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0776	H6529	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0127	H0776	tomim_confirmed	pair_id=108	likely_synonym	Psalms 105:35
H0398	H0776	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H3605	H6529	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0127	H3605	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0398	H3605	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0398	H6529	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H0127	H0398	tomim_confirmed	pair_id=108	unclassified	Psalms 105:35
H3045	H5971	tomim_confirmed	pair_id=109	unclassified	Isaiah 1:3
H5608	H8085	tomim_confirmed	pair_id=110	unclassified	Psalms 44:2
H0001	H8085	tomim_confirmed	pair_id=110	unclassified	Psalms 44:2
H0241	H5608	tomim_confirmed	pair_id=110	unclassified	Psalms 44:2
H0001	H0241	tomim_confirmed	pair_id=110	unclassified	Psalms 44:2
H4057	H4546	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H3474	H4057	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H0430	H4057	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H4546	H6963	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H6160	H6963	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H3474	H6963	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H4546	H7121	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H6160	H7121	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H3474	H7121	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H4546	H6437	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H6160	H6437	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H3474	H6437	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H0430	H6437	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H1870	H4546	tomim_confirmed	pair_id=111	likely_synonym	Isaiah 40:3
H1870	H6160	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H1870	H3474	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H0430	H1870	tomim_confirmed	pair_id=111	unclassified	Isaiah 40:3
H6213	H8419	tomim_confirmed	pair_id=112	unclassified	Proverbs 2:14
H6213	H7451	tomim_confirmed	pair_id=112	unclassified	Proverbs 2:14
H8056	H8419	tomim_confirmed	pair_id=112	unclassified	Proverbs 2:14
H7451	H8056	tomim_confirmed	pair_id=112	unclassified	Proverbs 2:14
H7451	H8419	tomim_confirmed	pair_id=118	unclassified	Proverbs 2:12
H5493	H5869	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H3372	H5869	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H5869	H7451	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H1961	H5493	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H1961	H3372	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H1961	H7451	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H2450	H5493	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H2450	H3372	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H2450	H7451	tomim_confirmed	pair_id=113	unclassified	Proverbs 3:7
H1481	H5643	tomim_confirmed	pair_id=114	unclassified	Psalms 61:5
H1481	H3671	tomim_confirmed	pair_id=114	unclassified	Psalms 61:5
H1481	H2620	tomim_confirmed	pair_id=114	unclassified	Psalms 61:5
H0168	H5643	tomim_confirmed	pair_id=114	unclassified	Psalms 61:5
H0168	H3671	tomim_confirmed	pair_id=114	unclassified	Psalms 61:5
H0168	H2620	tomim_confirmed	pair_id=114	unclassified	Psalms 61:5
