lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
BJT_NMRH/,Beth Nimrah,,,,,,,,,,,,,,,,,,,,,,,,
BJT_P<WR/,Beth Peor,,,,,,,,,,,,,,,,,,,,,,,,
BJT_PLV/,Beth Pelet,,,,,,,,,,,,,,,,,,,,,,,,
BJT_PYY/,Beth Pazzez,,,,,,,,,,,,,,,,,,,,,,,,
BJT_RXWB/,Beth Rehob,,,,,,,,,,,,,,,,,,,,,,,,
BJT_TPWX/,Beth Tappuah,,,,,,,,,,,,,,,,,,,,,,,,
BJT_XGLH/,Beth Hoglah,,,,,,,,,,,,,,,,,,,,,,,,
BJT_XNN/,Bethhanan,,,,,,,,,,,,,,,,,,,,,,,,
BJT_XWRWN/,Beth Horon,,,,,,,,,,,,,,,,,,,,,,,,
BJT_YWR/,Beth Zur,,,,,,,,,,,,,,,,,,,,,,,,
BJYH/,egg,,,,,,,,,,,,,,,,,,,,,,,,
BK>/,baka-shrub,,,,,,,,,,,,,,,,,,,,,,,,
BKH/,weeping,,,,,,,,,,,,,,,,,,,,,,,,
BKH[,,weep,,weep for,,,,,,,,,,,,,,,,,,,,,
BKJ/,weeping,,,,,,,,,,,,,,,,,,,,,,,,
BKJM/,Bokim,,,,,,,,,,,,,,,,,,,,,,,,
BKJRH/,first-born daughter,,,,,,,,,,,,,,,,,,,,,,,,
BKJT/,"weeping, mourning",,,,,,,,,,,,,,,,,,,,,,,,
BKR/,firstborn,,,,,,,,,,,,,,,,,,,,,,,,
BKR=/,young he-camel,,,,,,,,,,,,,,,,,,,,,,,,
BKR==/,Beker,,,,,,,,,,,,,,,,,,,,,,,,
BKRH/,right of first-born,,,,,,,,,,,,,,,,,,,,,,,,
BKRH=/,young she-camel,,,,,,,,,,,,,,,,,,,,,,,,
BKRJ/,Bekerite,,,,,,,,,,,,,,,,,,,,,,,,
BKRJ=/,Bicri,,,,,,,,,,,,,,,,,,,,,,,,
BKRW/,Bokeru,,,,,,,,,,,,,,,,,,,,,,,,
BKR[,,,,produce new fruit,belong as firstborn to,,give birth for the first time,,,,,,,,,,,,,,,,,,
BKWRH/,early fig,,,,,,,,,,,,,,,,,,,,,,,,
BKWRJM/,first fruits,,,,,,,,,,,,,,,,,,,,,,,,
BKWRT/,Becorath,,,,,,,,,,,,,,,,,,,,,,,,
BKWT/,weeping,,,,,,,,,,,,,,,,,,,,,,,,
BL,not; surely,,,,,,,,,,,,,,,,,,,,,,,,
BL/,Bel,,,,,,,,,,,,,,,,,,,,,,,,
BL</,confusion,,,,,,,,,,,,,,,,,,,,,,,,
BL<=/,what is swallowed,,,,,,,,,,,,,,,,,,,,,,,,
BL<==/,Bela,,,,,,,,,,,,,,,,,,,,,,,,
BL<===/,Bela,,,,,,,,,,,,,,,,,,,,,,,,
BL<==[,,,,,be communicated,,,,,,,,,,,,,,,,,,,,
BL<=[,,,be confused,confuse,be confused,prove confused,,,,,,,,,,,,,,,,,,,
BL<DJ,"apart from, except for",,,,,,,,,,,,,,,,,,,,,,,,
BL<J/,Belaite,,,,,,,,,,,,,,,,,,,,,,,,
BL<M/,Balaam,,,,,,,,,,,,,,,,,,,,,,,,
BL<M=/,Bileam,,,,,,,,,,,,,,,,,,,,,,,,
BL<[,,swallow,be swallowed up,devour,,,,,,,,,,,,,,,,,,,,,
BL>CYR/,Belshazzar,,,,,,,,,,,,,,,,,,,,,,,,
BL>DN/,Baladan,,,,,,,,,,,,,,,,,,,,,,,,
BLC>YR/,Belshazzar,,,,,,,,,,,,,,,,,,,,,,,,
BLCN/,Bilshan,,,,,,,,,,,,,,,,,,,,,,,,
BLDD/,Bildad,,,,,,,,,,,,,,,,,,,,,,,,
BLGH/,Bilgah,,,,,,,,,,,,,,,,,,,,,,,,
BLGJ/,Bilgai,,,,,,,,,,,,,,,,,,,,,,,,
BLG[,,,,,,,brighten up,,,,,,,,,,,,,,,,,,
BLH/,worn out,,,,,,,,,,,,,,,,,,,,,,,,
BLH=/,Balah,,,,,,,,,,,,,,,,,,,,,,,,
BLHH/,sudden terror,,,,,,,,,,,,,,,,,,,,,,,,
BLHH=/,Bilhah,,,,,,,,,,,,,,,,,,,,,,,,
BLHH==/,Bilhah,,,,,,,,,,,,,,,,,,,,,,,,
BLHN/,Bilhan,,,,,,,,,,,,,,,,,,,,,,,,
BLH[,,become old and worn out,,wear out,,,,,,,,,,,,,,,,wear out,,,,,
BLJ/,nothingness; without,,,,,,,,,,,,,,,,,,,,,,,,
BLJ<L/,wickedness; worthlessness,,,,,,,,,,,,,,,,,,,,,,,,
BLJL/,fodder,,,,,,,,,,,,,,,,,,,,,,,,
BLL[,,"moisten; confuse, confound",,,,be thrown about,wither,,,,,,,,,,,,,,,,,,
BLM[,,restrain a horse,,,,,,,,,,,,,,,,,,,,,,,
BLQ/,Balak,,,,,,,,,,,,,,,,,,,,,,,,
BLQ[,,devastate,,,be devastated,,,,,,,,,,,,,,,,,,,,
BLS[,,nip (figs),,,,,,,,,,,,,,,,,,,,,,,
BLT/,absence; there is not,,,,,,,,,,,,,,,,,,,,,,,,
BLVC>YR/,Belteshazzar,,,,,,,,,,,,,,,,,,,,,,,,
BLW/,tribute,,,,,,,,,,,,,,,,,,,,,,,,
BLWJ/,rags,,,,,,,,,,,,,,,,,,,,,,,,
BMH/,"high place, funerary installation",,,,,,,,,,,,,,,,,,,,,,,,
BMHL/,Bimhal,,,,,,,,,,,,,,,,,,,,,,,,
BMW,in,,,,,,,,,,,,,,,,,,,,,,,,
BMWT/,Bamoth,,,,,,,,,,,,,,,,,,,,,,,,
BMWT_B<L/,Bamoth Baal,,,,,,,,,,,,,,,,,,,,,,,,
BN/,son,,,,,,,,,,,,,,,,,,,,,,,,
BN<>/,Binea,,,,,,,,,,,,,,,,,,,,,,,,
BN=/,Ben,,,,,,,,,,,,,,,,,,,,,,,,
BNH[,,build,be built,,,,,,,,,,,,,,,build,,,,,,be built,
BNJ/,Bani,,,,,,,,,,,,,,,,,,,,,,,,
BNJ=/,Bunni,,,,,,,,,,,,,,,,,,,,,,,,
BNJH/,building,,,,,,,,,,,,,,,,,,,,,,,,
BNJH=/,Benaiah,,,,,,,,,,,,,,,,,,,,,,,,
BNJHW/,Benaiah,,,,,,,,,,,,,,,,,,,,,,,,
BNJM/,single-fighter,,,,,,,,,,,,,,,,,,,,,,,,
BNJMN/,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,
BNJN/,building,,,,,,,,,,,,,,,,,,,,,,,,
BNJNW/,Beninu,,,,,,,,,,,,,,,,,,,,,,,,
BNJ_BRQ/,Bene Berak,,,,,,,,,,,,,,,,,,,,,,,,
BNJ_J<QN/,Bene Jaakan,,,,,,,,,,,,,,,,,,,,,,,,
BNS[,,,,,,,,,,,,,,,,,,become angry,,,,,,,
BNWJ/,Binnui,,,,,,,,,,,,,,,,,,,,,,,,
BN_<MJ/,Ben-Ammi,,,,,,,,,,,,,,,,,,,,,,,,
BN_>WNJ/,Ben-Oni,,,,,,,,,,,,,,,,,,,,,,,,
BN_HDD/,Ben-Hadad,,,,,,,,,,,,,,,,,,,,,,,,
BN_HNM/,the Valley of Ben Hinnom,,,,,,,,,,,,,,,,,,,,,,,,
BN_XJL/,Ben-Hail,,,,,,,,,,,,,,,,,,,,,,,,
BN_XNN/,Ben-Hanan,,,,,,,,,,,,,,,,,,,,,,,,
BN_ZWXT/,Ben-Zoheth,,,,,,,,,,,,,,,,,,,,,,,,
BQ</,"beka, half a shekel (coin)",,,,,,,,,,,,,,,,,,,,,,,,
BQ<H/,"plain, valley",,,,,,,,,,,,,,,,,,,,,,,,
BQ<T_>WN/,the Valley of Aven,,,,,,,,,,,,,,,,,,,,,,,,
BQ<[,,split,"be split, burst open",tear apart,be burst,be burst,invade,be invaded,,,,,,,,,,,,,,,,,
BQBQ/,bottle,,,,,,,,,,,,,,,,,,,,,,,,
BQBQJH/,Bakbukiah,,,,,,,,,,,,,,,,,,,,,,,,
BQBQR/,Bakbuk,,,,,,,,,,,,,,,,,,,,,,,,
BQBWQ/,Bakbuk,,,,,,,,,,,,,,,,,,,,,,,,
BQCH/,request,,,,,,,,,,,,,,,,,,,,,,,,
BQC[,,,,seek,be sought,,,,,,,,,,,,,,,,,,,,
BQJ/,Bukki,,,,,,,,,,,,,,,,,,,,,,,,
BQJ</,breach,,,,,,,,,,,,,,,,,,,,,,,,
BQJHW/,Bukkiah,,,,,,,,,,,,,,,,,,,,,,,,
BQQ[,,devastate,be devastated,devastate,,,,,,,,,,,,,,,,,,,,,
BQR/,"cattle, cows (collective), herd(s)",,,,,,,,,,,,,,,,,,,,,,,,
BQR=/,morning,,,,,,,,,,,,,,,,,,,,,,,,
BQRH/,care,,,,,,,,,,,,,,,,,,,,,,,,
BQRT/,"inquiry, punishment",,,,,,,,,,,,,,,,,,,,,,,,
BQR[,,,,pay attention,,,,,,,,,,,be investigated,,,,,"search, investigate",,,,,
BR/,grain,,,,,,,,,,,,,,,,,,,,,,,,
BR</,Bera,,,,,,,,,,,,,,,,,,,,,,,,
BR=/,cleanness,,,,,,,,,,,,,,,,,,,,,,,,
BR==/,pure,,,,,,,,,,,,,,,,,,,,,,,,
BR===/,son,,,,,,,,,,,,,,,,,,,,,,,,
BR====/,open field,,,,,,,,,,,,,,,,,,,,,,,,
BR=====/,potash,,,,,,,,,,,,,,,,,,,,,,,,
BR>==[,,,,cut down,,,,,,,,,,,,,,,,,,,,,
BR>=[,,,,,,,make fat,,,,,,,,,,,,,,,,,,
BR>DK_BL>DN/,Merodach-Baladan,,,,,,,,,,,,,,,,,,,,,,,,
BR>JH/,Beraiah,,,,,,,,,,,,,,,,,,,,,,,,
BR>[,,create,be created,,,,,,,,,,,,,,,,,,,,,,
BRBR/,goose?; cuckoo? (bird),,,,,,,,,,,,,,,,,,,,,,,,
BRC</,Birsha,,,,,,,,,,,,,,,,,,,,,,,,
BRD/,hail,,,,,,,,,,,,,,,,,,,,,,,,
BRD=/,speckled,,,,,,,,,,,,,,,,,,,,,,,,
BRD==/,Bered,,,,,,,,,,,,,,,,,,,,,,,,
BRD===/,Bered,,,,,,,,,,,,,,,,,,,,,,,,
BRD[,,hail,,,,,,,,,,,,,,,,,,,,,,,
BRH=[,,choose,,,,,,,,,,,,,,,,,,,,,,,
BRH[,,eat,,,,,feed,,,,,,,,,,,,,,,,,,
BRJ/,Beri,,,,,,,,,,,,,,,,,,,,,,,,
BRJ<H/,Beriah,,,,,,,,,,,,,,,,,,,,,,,,
BRJ<J/,Beriite,,,,,,,,,,,,,,,,,,,,,,,,
BRJ>/,fat,,,,,,,,,,,,,,,,,,,,,,,,
BRJ>H/,creature,,,,,,,,,,,,,,,,,,,,,,,,
BRJH/,food,,,,,,,,,,,,,,,,,,,,,,,,
BRJM/,(uncertain),,,,,,,,,,,,,,,,,,,,,,,,
BRJT/,"covenant, agreement",,,,,,,,,,,,,,,,,,,,,,,,
BRJT=/,lye,,,,,,,,,,,,,,,,,,,,,,,,
BRJX/,bar,,,,,,,,,,,,,,,,,,,,,,,,
BRJX=/,Bariah,,,,,,,,,,,,,,,,,,,,,,,,
BRK/,knee,,,,,,,,,,,,,,,,,,,,,,,,
BRK=[,,kneel,,,,,make kneel,,,,,,,,,,,kneel,,,,,,,
BRK>L/,Barakel,,,,,,,,,,,,,,,,,,,,,,,,
BRKH/,blessing,,,,,,,,,,,,,,,,,,,,,,,,
BRKH=/,"pond, pool",,,,,,,,,,,,,,,,,,,,,,,,
BRKH==/,Beracah,,,,,,,,,,,,,,,,,,,,,,,,
BRKJH/,Berekiah,,,,,,,,,,,,,,,,,,,,,,,,
BRKJHW/,Berekiah,,,,,,,,,,,,,,,,,,,,,,,,
BRK[,,bless,bless oneself,bless,be blessed,"bless each other, oneself",,,,,,,,,,,,be blessed (ptc. only),,bless,,,,,
BRM,but,,,,,,,,,,,,,,,,,,,,,,,,
BRMJM/,multi-coloured cloth,,,,,,,,,,,,,,,,,,,,,,,,
BRQ/,lightning,,,,,,,,,,,,,,,,,,,,,,,,
BRQ=/,Barak,,,,,,,,,,,,,,,,,,,,,,,,
BRQNJM/,briers,,,,,,,,,,,,,,,,,,,,,,,,
BRQT/,emerald (precious stone),,,,,,,,,,,,,,,,,,,,,,,,
BRQT=/,emerald (precious stone),,,,,,,,,,,,,,,,,,,,,,,,
BRQWS/,Barkos,,,,,,,,,,,,,,,,,,,,,,,,
BRQ[,,flash,,,,,,,,,,,,,,,,,,,,,,,
BRR[,,"purge out, sort; sharpen",keep clean,purify,,behave purely,clean,,,,,,,,,,,,,,,,,,
BRTJ/,Berothai,,,,,,,,,,,,,,,,,,,,,,,,
BRWC/,juniper,,,,,,,,,,,,,,,,,,,,,,,,
BRWK/,Baruch,,,,,,,,,,,,,,,,,,,,,,,,
BRWR/,"clean, pure",,,,,,,,,,,,,,,,,,,,,,,,
BRWT/,food,,,,,,,,,,,,,,,,,,,,,,,,
BRWT=/,juniper,,,,,,,,,,,,,,,,,,,,,,,,
BRWTH/,Berothah,,,,,,,,,,,,,,,,,,,,,,,,
BRX/,fugitive,,,,,,,,,,,,,,,,,,,,,,,,
BRXMJ/,Barhumite,,,,,,,,,,,,,,,,,,,,,,,,
BRX[,,"run away, flee",,,,,chase away,,,,,,,,,,,,,,,,,,
BRZJT/,Birzaith,,,,,,,,,,,,,,,,,,,,,,,,
BRZL/,iron,,,,,,,,,,,,,,,,,,,,,,,,
BRZLJ/,Barzillai,,,,,,,,,,,,,,,,,,,,,,,,
BSJ/,Besai,,,,,,,,,,,,,,,,,,,,,,,,
BSR/,unripe grape,,,,,,,,,,,,,,,,,,,,,,,,
BSWDJH/,Besodeiah,,,,,,,,,,,,,,,,,,,,,,,,
BT/,daughter,,,,,,,,,,,,,,,,,,,,,,,,
BT=/,bath (liquid measure),,,,,,,,,,,,,,,,,,,,,,,,
BTH/,precipice,,,,,,,,,,,,,,,,,,,,,,,,
BTH=/,destruction?,,,,,,,,,,,,,,,,,,,,,,,,
BTJH/,Bithiah,,,,,,,,,,,,,,,,,,,,,,,,
BTQ[,,,,massacre,,,,,,,,,,,,,,,,,,,,,
BTR/,part,,,,,,,,,,,,,,,,,,,,,,,,
BTR=/,gorge?,,,,,,,,,,,,,,,,,,,,,,,,
BTRWN/,gorge,,,,,,,,,,,,,,,,,,,,,,,,
BTR[,,cut into pieces,,cut into pieces,,,,,,,,,,,,,,,,,,,,,
BTW>L/,Bethuel,,,,,,,,,,,,,,,,,,,,,,,,
BTW>L=/,Bethuel,,,,,,,,,,,,,,,,,,,,,,,,
BTWLH/,young woman; virgin,,,,,,,,,,,,,,,,,,,,,,,,
BTWLJM/,virginity; evidence of virginity,,,,,,,,,,,,,,,,,,,,,,,,
BT_CB</,Bathsheba,,,,,,,,,,,,,,,,,,,,,,,,
BT_CW</,daughter of Shua,,,,,,,,,,,,,,,,,,,,,,,,
BT_RBJM/,Bath Rabbim,,,,,,,,,,,,,,,,,,,,,,,,
BV>[,,speak thoughtlessly,,speak thoughtlessly,,,,,,,,,,,,,,,,,,,,,
BVL[,,be idle,,,,,,,,,,,,,,,,cease,,"make to cease, hinder",,,,,
BVN/,"belly, womb",,,,,,,,,,,,,,,,,,,,,,,,
BVN=/,Beten,,,,,,,,,,,,,,,,,,,,,,,,
BVNH/,pistachio,,,,,,,,,,,,,,,,,,,,,,,,
BVNJM/,Betonim,,,,,,,,,,,,,,,,,,,,,,,,
BVWX/,trusting,,,,,,,,,,,,,,,,,,,,,,,,
BVX/,"trust, security",,,,,,,,,,,,,,,,,,,,,,,,
BVX=/,Tebah,,,,,,,,,,,,,,,,,,,,,,,,
BVXH/,confidence,,,,,,,,,,,,,,,,,,,,,,,,
BVXWN/,confidence,,,,,,,,,,,,,,,,,,,,,,,,
BVXWT/,security,,,,,,,,,,,,,,,,,,,,,,,,
BVX[,,trust,,,,,inspire confidence,,,,,,,,,,,,,,,,,,
BW>[,,"come, enter, go in",,,,,bring; let come,be brought,,,,,,,,,,,,,,,,,
BWCH/,shame,,,,,,,,,,,,,,,,,,,,,,,,
BWC[,,be ashamed,,delay,,be ashamed of one another,put to shame; act shamefully; be shamed,,,,,,,,,,,,,,,,,,
BWJ/,Binnui,,,,,,,,,,,,,,,,,,,,,,,,
BWK[,,,be confused,,,,,,,,,,,,,,,,,,,,,,
BWL/,dry wood; block of wood,,,,,,,,,,,,,,,,,,,,,,,,
BWL=/,Bul (month),,,,,,,,,,,,,,,,,,,,,,,,
BWNH/,Bunah,,,,,,,,,,,,,,,,,,,,,,,,
BWNJ/,Bunni,,,,,,,,,,,,,,,,,,,,,,,,
BWQH/,emptiness,,,,,,,,,,,,,,,,,,,,,,,,
BWQR/,herdsman,,,,,,,,,,,,,,,,,,,,,,,,
BWR/,"pit, cistern",,,,,,,,,,,,,,,,,,,,,,,,
BWR_<CN/,Bor Ashan,,,,,,,,,,,,,,,,,,,,,,,,
BWS[,,trample down,,trample,,kick out,,be trampled,,,,,,,,,,,,,,,,,
BWY/,fine linen,,,,,,,,,,,,,,,,,,,,,,,,
BWYY/,Bozez,,,,,,,,,,,,,,,,,,,,,,,,
BWZ/,contempt,,,,,,,,,,,,,,,,,,,,,,,,
BWZ=/,Buz,,,,,,,,,,,,,,,,,,,,,,,,
BWZ==/,Buz,,,,,,,,,,,,,,,,,,,,,,,,
BWZH/,contempt,,,,,,,,,,,,,,,,,,,,,,,,
BWZJ/,Buzite,,,,,,,,,,,,,,,,,,,,,,,,
BWZJ=/,Buzi,,,,,,,,,,,,,,,,,,,,,,,,
BWZ[,,"show contempt for, despise",,,,,,,,,,,,,,,,,,,,,,,
BXJR/,"chosen, elect",,,,,,,,,,,,,,,,,,,,,,,,
BXL[,,abhor,,,,,,,,,,,,,,,,,,,,,,,
BXN/,testing stone?; granite?,,,,,,,,,,,,,,,,,,,,,,,,
BXN=/,watch-tower,,,,,,,,,,,,,,,,,,,,,,,,
BXN[,,test,"be examined, tried",,be examined,,,,,,,,,,,,,,,,,,,,
BXRJM/,youth,,,,,,,,,,,,,,,,,,,,,,,,
BXRJM=/,Bahurim,,,,,,,,,,,,,,,,,,,,,,,,
BXRMJ/,Baharumite,,,,,,,,,,,,,,,,,,,,,,,,
BXR[,,choose,be chosen,,,,,,,,,,,,,,,,,,,,,,
BXWN/,assayer of metals,,,,,,,,,,,,,,,,,,,,,,,,
BXWN=/,watch-tower; siege tower,,,,,,,,,,,,,,,,,,,,,,,,
BXWR/,young man,,,,,,,,,,,,,,,,,,,,,,,,
BXWRWT/,youth,,,,,,,,,,,,,,,,,,,,,,,,
BY/,silt,,,,,,,,,,,,,,,,,,,,,,,,
BY</,a piece cut off,,,,,,,,,,,,,,,,,,,,,,,,
BY<[,,a piece cut off,,cut off; finish,,,,,,,,,,,,,,,,,,,,,
BYH/,marsh,,,,,,,,,,,,,,,,,,,,,,,,
BYJ/,Bezai,,,,,,,,,,,,,,,,,,,,,,,,
BYJR/,grape-harvest,,,,,,,,,,,,,,,,,,,,,,,,
BYJR=/,inaccessibility,,,,,,,,,,,,,,,,,,,,,,,,
BYL/,onion,,,,,,,,,,,,,,,,,,,,,,,,
BYL>L/,Bezalel,,,,,,,,,,,,,,,,,,,,,,,,
BYLWT/,Bazluth,,,,,,,,,,,,,,,,,,,,,,,,
BYQ/,dough,,,,,,,,,,,,,,,,,,,,,,,,
BYQT/,Bozkath,,,,,,,,,,,,,,,,,,,,,,,,
BYQ[,,swell,,,,,,,,,,,,,,,,,,,,,,,
BYR/,ore,,,,,,,,,,,,,,,,,,,,,,,,
BYR=/,Bezer,,,,,,,,,,,,,,,,,,,,,,,,
BYR==/,Bezer,,,,,,,,,,,,,,,,,,,,,,,,
BYR==[,,restrain,,,,,,,,,,,,,,,,,,,,,,,
BYR=[,,,be withheld,make inaccessible,,,,,,,,,,,,,,,,,,,,,
BYRH/,(uncertain),,,,,,,,,,,,,,,,,,,,,,,,
BYRH=/,Bozrah,,,,,,,,,,,,,,,,,,,,,,,,
BYRT/,drought,,,,,,,,,,,,,,,,,,,,,,,,
BYRWN/,stronghold,,,,,,,,,,,,,,,,,,,,,,,,
BYR[,,gather grapes,,,,,,,,,,,,,,,,,,,,,,,
BYWR/,"inaccessible, fortified",,,,,,,,,,,,,,,,,,,,,,,,
BZ/,plunder; booty,,,,,,,,,,,,,,,,,,,,,,,,
BZ>[,,wash away,,,,,,,,,,,,,,,,,,,,,,,
BZH/,plunder; booty,,,,,,,,,,,,,,,,,,,,,,,,
BZH[,,despise,"be despised, be contemptible",,,,demean,,,,,,,,,,,,,,,,,,
BZJWN/,contempt,,,,,,,,,,,,,,,,,,,,,,,,
BZJWTJH/,Biziothiah,,,,,,,,,,,,,,,,,,,,,,,,
BZQ/,lightning,,,,,,,,,,,,,,,,,,,,,,,,
BZQ=/,Bezek,,,,,,,,,,,,,,,,,,,,,,,,
BZR[,,scatter,,scatter,,,,,,,,,,,,,,,,,,,,,
BZT>/,Biztha,,,,,,,,,,,,,,,,,,,,,,,,
BZZ[,,plunder,be plundered,,be plundered,,,,,,,,,,,,,,,,,,,,
C,"who, which; that",,,,,,,,,,,,,,,,,,,,,,,,
C<<=[,,be pasted together,,,,be pasted together,paste together,,,,,,,,,,,,,,,,,,
C<<[,,,,play; make glad,be fondled,delight,,,,,,,,,,,,,,,,,,,
C<CGZ/,Shaashgaz,,,,,,,,,,,,,,,,,,,,,,,,
C<CW<JM/,delight,,,,,,,,,,,,,,,,,,,,,,,,
C<H/,moment,,,,,,,,,,,,,,,,,,,,,,,,
C<H[,,"look, gaze",,,,look about,look away,,,,,,,,,,,,,,,,,,
C<L/,hollow hand; handful,,,,,,,,,,,,,,,,,,,,,,,,
C<LBJM/,Shaalbim,,,,,,,,,,,,,,,,,,,,,,,,
C<LBJN/,Shaalabbin,,,,,,,,,,,,,,,,,,,,,,,,
C<LBNJ/,Shaalbonite,,,,,,,,,,,,,,,,,,,,,,,,
C<LJM/,Shaalim,,,,,,,,,,,,,,,,,,,,,,,,
C<N[,,,lean (against); depend (on),,,,,,,,,,,,,,,,,,,,,,
C<P/,Shaaph,,,,,,,,,,,,,,,,,,,,,,,,
C<R/,gate,,,,,,,,,,,,,,,,,,,,,,,,
C<R=/,measure,,,,,,,,,,,,,,,,,,,,,,,,
C<R==/,uneatable,,,,,,,,,,,,,,,,,,,,,,,,
C<RJH/,Sheariah,,,,,,,,,,,,,,,,,,,,,,,,
C<RJM/,Shaaraim,,,,,,,,,,,,,,,,,,,,,,,,
C<RWR/,horrible,,,,,,,,,,,,,,,,,,,,,,,,
C<RWRJ/,horrible,,,,,,,,,,,,,,,,,,,,,,,,
C<R[,,calculate,,,,,,,,,,,,,,,,,,,,,,,
C<VH/,stamping,,,,,,,,,,,,,,,,,,,,,,,,
C<VNZ/,cloth of mixed threads,,,,,,,,,,,,,,,,,,,,,,,,
C>B[,,draw (water),,,,,,,,,,,,,,,,,,,,,,,
C>GH/,roaring,,,,,,,,,,,,,,,,,,,,,,,,
C>G[,,roar,,,,,,,,,,,,,,,,,,,,,,,
C>H==[,,,,,,gaze at,,,,,,,,,,,,,,,,,,,
C>H=[,,,rage,,,,,,,,,,,,,,,,,,,,,,
C>H[,,be desolate,be ruined,,,,ruin,,,,,,,,,,,,,,,,,,
C>JH/,desolation,,,,,,,,,,,,,,,,,,,,,,,,
C>L/,Sheal,,,,,,,,,,,,,,,,,,,,,,,,
C>LH/,request,,,,,,,,,,,,,,,,,,,,,,,,
C>LH=/,nether world,,,,,,,,,,,,,,,,,,,,,,,,
C>LTJ>L/,Shealtiel,,,,,,,,,,,,,,,,,,,,,,,,
C>L[,,"ask (for), demand",ask leave of absence,inquire; beg,,,grant a request; lend,,,,,,,,,,,ask,,,,,,,
C>NN/,"at ease, tranquil",,,,,,,,,,,,,,,,,,,,,,,,
C>N[,,,,be at ease,,,,,,,,,,,,,,,,,,,,,
C>P[,,"grasp, pant",,,,,,,,,,,,,,,,,,,,,,,
C>R/,"flesh, meat, food; blood-relation",,,,,,,,,,,,,,,,,,,,,,,,
C>R=/,"remainder, remnant",,,,,,,,,,,,,,,,,,,,,,,,
C>RH/,relative,,,,,,,,,,,,,,,,,,,,,,,,
C>RH=/,Sheerah,,,,,,,,,,,,,,,,,,,,,,,,
C>RJT/,remainder,,,,,,,,,,,,,,,,,,,,,,,,
C>R[,,remain,be left over,,,,be left over,,,,,,,,,,,,,,,,,,
C>R_JCWB/,Shear-Jashub,,,,,,,,,,,,,,,,,,,,,,,,
C>S[,,plunder,,,,,,,,,,,,,,,,,,,,,,,
C>T/,desolation,,,,,,,,,,,,,,,,,,,,,,,,
C>V/,contempt,,,,,,,,,,,,,,,,,,,,,,,,
C>WL/,"sheol, underworld",,,,,,,,,,,,,,,,,,,,,,,,
C>WL=/,Saul,,,,,,,,,,,,,,,,,,,,,,,,
C>WLJ/,Shaulite,,,,,,,,,,,,,,,,,,,,,,,,
C>WN/,"uproar, din",,,,,,,,,,,,,,,,,,,,,,,,
C>WN=/,destruction,,,,,,,,,,,,,,,,,,,,,,,,
CB</,seven,,,,,,,,,,,,,,,,,,,,,,,,
CB<=/,Sheba,,,,,,,,,,,,,,,,,,,,,,,,
CB<==/,Sheba,,,,,,,,,,,,,,,,,,,,,,,,
CB<H/,Shibah,,,,,,,,,,,,,,,,,,,,,,,,
CB<NH/,twice seven?,,,,,,,,,,,,,,,,,,,,,,,,
CB<[,,,swear,,,,swear,,,,,,,,,,,,,,,,,,
CB>/,Sheba,,,,,,,,,,,,,,,,,,,,,,,,
CB>JM/,Sabeans,,,,,,,,,,,,,,,,,,,,,,,,
CBB/,splinter,,,,,,,,,,,,,,,,,,,,,,,,
CBC[,,,,,,,,,,,,,,,be confused,,,,,,,,,,
CBH[,,take captive,be taken captive,,,,,,,,,,,,,,,,,,,,,,
CBJ/,"captives (collective), captivity; (those who are; that which is) taken captive",,,,,,,,,,,,,,,,,,,,,,,,
CBJ<J/,seventh,,,,,,,,,,,,,,,,,,,,,,,,
CBJ=/,Shobi,,,,,,,,,,,,,,,,,,,,,,,,
CBJ==/,Shobai,,,,,,,,,,,,,,,,,,,,,,,,
CBJB/,spark,,,,,,,,,,,,,,,,,,,,,,,,
CBJH/,captive,,,,,,,,,,,,,,,,,,,,,,,,
CBJH=/,captives (collective); captivity,,,,,,,,,,,,,,,,,,,,,,,,
CBJL/,path,,,,,,,,,,,,,,,,,,,,,,,,
CBJS/,headband,,,,,,,,,,,,,,,,,,,,,,,,
CBJT/,captivity,,,,,,,,,,,,,,,,,,,,,,,,
CBL/,train,,,,,,,,,,,,,,,,,,,,,,,,
CBLT/,"ear (of grain), bunch of twigs",,,,,,,,,,,,,,,,,,,,,,,,
CBLT=/,stream,,,,,,,,,,,,,,,,,,,,,,,,
CBLWL/,snail?,,,,,,,,,,,,,,,,,,,,,,,,
CBN>/,Shebna,,,,,,,,,,,,,,,,,,,,,,,,
CBNH/,Shebna,,,,,,,,,,,,,,,,,,,,,,,,
CBNJH/,Shebaniah,,,,,,,,,,,,,,,,,,,,,,,,
CBNJHW/,Shebaniah,,,,,,,,,,,,,,,,,,,,,,,,
CBQ[,,,,,,,,,,,,,,,,,,"leave, let alone",,,,,,"be left to, pass on",
CBR/,breaking; fracture,,,,,,,,,,,,,,,,,,,,,,,,
CBR=/,grain,,,,,,,,,,,,,,,,,,,,,,,,
CBR==/,interpretation,,,,,,,,,,,,,,,,,,,,,,,,
CBR===/,Sheber,,,,,,,,,,,,,,,,,,,,,,,,
CBR=[,,buy grain,,,,,sell grain,,,,,,,,,,,,,,,,,,
CBRJM/,Shebarim,,,,,,,,,,,,,,,,,,,,,,,,
