lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
CBB/,一块一块；碎片,,,,,,,,,,,,,,,,
CBH[,俘虏；被掳的人,掳掠,被掳掠,,,,,,,,,,,,,,
CBJ<J/,第七,,,,,,,,,,,,,,,,
CBJ=/,朔比，《思》芍彼,,,,,,,,,,,,,,,,
CBJB/,火焰,,,,,,,,,,,,,,,,
CBJH=/,俘虏，被掳的人,,,,,,,,,,,,,,,,
CBJL/,路径 ＞ 行为,,,,,,,,,,,,,,,,
CBJS/,头带,,,,,,,,,,,,,,,,
CBL/,下摆；裙裾,,,,,,,,,,,,,,,,
CBLWL/,蜗牛,,,,,,,,,,,,,,,,
CBN>/,舍伯那，《思》舍布纳,,,,,,,,,,,,,,,,
CBR=[,,购买谷物,,,,,出售谷物,,,,,,,,,,
CBRJM/,采石场,,,,,,,,,,,,,,,,
CBRWN/,折断（某人的）腰部 ＞ 腿无力,,,,,,,,,,,,,,,,
CBR[,,打破,被打破,粉碎,,,使破裂,被粉碎,,,,,,,,,
CBT/,安息日；休息（日）,,,,,,,,,,,,,,,,
CBTJ/,沙比太，《思》沙贝泰,,,,,,,,,,,,,,,,
CBT[,结束；终止；停止,停止,被停止,,,,使停止,,,,,,,,,,
CBV/,杖、棍、槌、权杖,,,,,,,,,,,,,,,,
CBV=/,细罢特月，《思》舍巴特月,,,,,,,,,,,,,,,,
CBW/,玛瑙,,,,,,,,,,,,,,,,
CBW</,星期,,,,,,,,,,,,,,,,
CBW<H/,誓言,,,,,,,,,,,,,,,,
CBX[,,,,称赞,,夸耀,,,,,,,,,,,
CBY[,编织图案,,,花纹织布,被镶嵌,,,,,,,,,,,,
CCBYR/,设巴萨，《思》舍市巴匝,,,,,,,,,,,,,,,,
CCH[,拿第六部份，献六分之一,,,,,,,,,,,,,,,,
CCJ/,第六,,,,,,,,,,,,,,,,
CCJ=/,示筛，《思》舍瑟,,,,,,,,,,,,,,,,
CCJ==/,沙赛，《思》沙瑟,,,,,,,,,,,,,,,,
CCK/,示沙克，《现》巴比伦，《思》舍沙客,,,,,,,,,,,,,,,,
CCN/,示珊，《思》舍商,,,,,,,,,,,,,,,,
CCQ/,沙煞，《思》沙沙克,,,,,,,,,,,,,,,,
CD==/,邪灵；鬼魔,,,,,,,,,,,,,,,,
CDD[,,荒废,被荒废,虐待,被摧毁,,,被摧毁,,,,,,,,,
CDH/,无数的妃嫔,,,,,,,,,,,,,,,,
CDJ/,全能者；全足者,,,,,,,,,,,,,,,,
CDJ>WR/,示丢珥，《思》舍德乌尔,,,,,,,,,,,,,,,,
CDMH/,田野,,,,,,,,,,,,,,,,
CDP[,灼伤；烧焦；使枯萎,,,,,,,,,,,,,,,,
CDRK/,沙得拉，《思》沙得辣客,,,,,,,,,,,,,,,,
CFH[,拿第六部份，献六分之一,,,,,,,,,,,,,,,,
CG<WN/,疯狂，精神错乱,,,,,,,,,,,,,,,,
CG<[,疯癫；疯狂,,,,疯狂,行为疯狂,,,,,,,,,,,
CGGH/,无意中犯罪；无心的错误,,,,,,,,,,,,,,,,
CGG[,犯错；误入歧途,,,,,,,,,,,,,,,,
CGH[,游荡；走失；迷路,迷离,,,,,使迷离,,,,,,,,,,
CGJ>H/,错误；过失,,,,,,,,,,,,,,,,
CGR/,牛犊，崽,,,,,,,,,,,,,,,,
CGX[,凝视，盯着看,,,,,,,,,,,,,,,,
CHM/,缟玛瑙,,,,,,,,,,,,,,,,
CHM=/,缟玛瑙,,,,,,,,,,,,,,,,
CJ>N/,示按，《思》史雍,,,,,,,,,,,,,,,,
CJC>/,示沙，《思》史沙,,,,,,,,,,,,,,,,
CJCQ/,示撒，《思》史沙克,,,,,,,,,,,,,,,,
CJMWN/,示门，《思》史孟,,,,,,,,,,,,,,,,
CJR[,唱,唱歌,,歌唱,,,,被唱,,,,,,,,,
CJT/,荆棘；蒺藜， 蓟；野蔷薇,,,,,,,,,,,,,,,,
CJT=/,排列，列阵,,,,,,,,,,,,,,,,
CJT[,排列，列阵,摆放,,,,,,被加上,,,,,,,,,
CJV/,鞭子,,,,,,,,,,,,,,,,
CJXWR/,西曷河，《思》史曷尔河,,,,,,,,,,,,,,,,
CJXWR_LBNT/,希曷‧立纳河，《思》里贝纳特河,,,,,,,,,,,,,,,,
CJX[,,流散,,,,绝望,,,,,,,,,,,
CJZ>/,示撒，《思》史匝,,,,,,,,,,,,,,,,
CKBH/,一层露水,,,,,,,,,,,,,,,,
CKBT/,交合,,,,,,,,,,,,,,,,
CKB[,躺着；躺下,躺卧,被卧,,被卧,,使躺卧,被躺卧,,,,,,,,,
CKK[,缓和；消退,减少,,,,,使减少,,,,,,,,,,
CKLJM/,丧亲,,,,,,,,,,,,,,,,
CKL[,失去孩子；流产；失去幼崽,丧失子女,,使丧失子女,,,流产,,,,,,,,,,
CKM/,肩膀,,,,,,,,,,,,,,,,
CKM=/,肩膀,,,,,,,,,,,,,,,,
CKM==/,肩膀,,,,,,,,,,,,,,,,
CKM===/,示剑，《思》舍根,,,,,,,,,,,,,,,,
CKMJ/,示剑族，《思》舍根家族,,,,,,,,,,,,,,,,
CKM[,早起,,,,,,,,,,,,,,,,
CKN[,安顿下来；停留；居住,居住,,使居住,,,使居住,,,,,,,,,,
CKR=/,枣酒；烈酒,,,,,,,,,,,,,,,,
CKR[,,醉酒,,使醉酒,,表现醉酒,使醉酒,,,,,,,,,,
CKWL=/,失去孩子；失去幼崽,,,,,,,,,,,,,,,,
CKWR/,喝醉,,,,,,,,,,,,,,,,
CKX[,忘记,遗忘,被遗忘,使遗忘,,被遗忘,使忘记,,,,,,,,,,
CL/,轻率,,,,,,,,,,,,,,,,
CL>NN/,自在；安全；自满,,,,,,,,,,,,,,,,
CLB/,框架,,,,,,,,,,,,,,,,
CLB[,平行,,,,,,,,,,,,,,,,
CLCH/,施沙，《思》史耳沙,,,,,,,,,,,,,,,,
CLCH=/,沙利沙，《思》沙里沙,,,,,,,,,,,,,,,,
CLCJM/,第三代的子孙,,,,,,,,,,,,,,,,
CLCWM/,以前，过去（常常做的事）,,,,,,,,,,,,,,,,
CLC[,三重的；由三部分组成,,,分成三份,三岁的,,,,,,,,,,,,
CLG/,雪,,,,,,,,,,,,,,,,
CLG=/,雪,,,,,,,,,,,,,,,,
CLH=/,示拉，《思》舍拉,,,,,,,,,,,,,,,,
CLH[,,安息,疏忽,,,,虚假希望,,,,,,,,,,
CLJ/,平静；安静,,,,,,,,,,,,,,,,
CLJC/,盆；量器,,,,,,,,,,,,,,,,
CLJC=/,盆；量器,,,,,,,,,,,,,,,,
CLJC==/,盆；量器,,,,,,,,,,,,,,,,
CLJH/,胞衣,,,,,,,,,,,,,,,,
CLJV/,主人；统治者；总督；首领,,,,,,,,,,,,,,,,
CLK/,鱼鹰,,,,,,,,,,,,,,,,
CLK[,抛；扔；投掷,,,,,,投掷,被投掷,,,,,,,,,
CLL/,战利品,,,,,,,,,,,,,,,,
CLL[,,掠夺,,,,被掠夺,,,,,被掠夺,,,,,,
CLMH/,偿还；报应,,,,,,,,,,,,,,,,
CLMH=/,所罗门，《思》撒罗满,,,,,,,,,,,,,,,,
CLMJ/,示冷族，《思》史冷家族,,,,,,,,,,,,,,,,
CLMJ=/,示罗米，《思》舍罗米,,,,,,,,,,,,,,,,
CLMJ>L/,示路蔑，《思》舍路米耳,,,,,,,,,,,,,,,,
CLMJT/,示罗密，《思》舍罗米特,,,,,,,,,,,,,,,,
CLMN/,沙勒幔，《思》沙耳曼,,,,,,,,,,,,,,,,
CLMN>SR/,撒缦以色，《思》沙耳玛乃色,,,,,,,,,,,,,,,,
CLMWT/,示罗摩，《思》舍罗摩特,,,,,,,,,,,,,,,,
CLM[,完工,完整,,偿还,被偿还,,使和睦,与...和睦,,,,,,,,,
CLNJ/,示拉族，《思》舍拉家族,,,,,,,,,,,,,,,,
CLP/,沙列，《思》舍肋夫,,,,,,,,,,,,,,,,
CLP[,拉出；抽出,,,,,,,,,,,,,,,,
CLV/,盾牌,,,,,,,,,,,,,,,,
CLVT/,无所顾忌；顽固；任性不屈服,,,,,,,,,,,,,,,,
CLV[,,统治,,,,,赋予权力,,,,,,,,,,
CLWH/,舒适；平安；满足,,,,,,,,,,,,,,,,
CLWM/,全然；完全,,,,,,,,,,,,,,,,
CLWM=/,回报；报应,,,,,,,,,,,,,,,,
CLWM==/,沙龙，《思》沙隆,,,,,,,,,,,,,,,,
CLWN/,沙仑，《思》沙隆,,,,,,,,,,,,,,,,
CLX===/,西罗亚，《思》史罗亚,,,,,,,,,,,,,,,,
CLXJ/,示利希，《思》史肋希,,,,,,,,,,,,,,,,
CLXJM/,实忻，《思》史耳新,,,,,,,,,,,,,,,,
CLXJM=/,实忻，《思》史耳新,,,,,,,,,,,,,,,,
CLXN/,桌子,,,,,,,,,,,,,,,,
CLX[,差派（信使到某人那里去）,派遣,被派遣,释放；伸出；派遣,被释放,,释放于,,,,,,,,,,
CM/,名字,,,,,,,,,,,,,,,,
CM</,新闻；报告；谣言；消息,,,,,,,,,,,,,,,,
CM<=/,大声,,,,,,,,,,,,,,,,
CM<==/,新闻；报告；谣言；消息,,,,,,,,,,,,,,,,
CM<===/,大声,,,,,,,,,,,,,,,,
CM<====/,示玛，《思》舍玛,,,,,,,,,,,,,,,,
CM<>/,示米亚，《思》史默亚,,,,,,,,,,,,,,,,
CM<H/,示玛，《思》舍玛亚,,,,,,,,,,,,,,,,
CM<H=/,示米亚，《思》史默亚,,,,,,,,,,,,,,,,
CM<J/,示每，《思》史米,,,,,,,,,,,,,,,,
CM<J=/,示每，《思》史米,,,,,,,,,,,,,,,,
CM<NJ/,西缅人《思》西默盎人,,,,,,,,,,,,,,,,
CM<T/,示米押，《思》史默阿特,,,,,,,,,,,,,,,,
CM<TJ/,示米押人，《思》沙玛人,,,,,,,,,,,,,,,,
CM<WN/,西缅，《思》西默盎,,,,,,,,,,,,,,,,
CM<[,,听见,被听见,传唤,,,传唤,,,,,,,,,,
CM=/,名字,,,,,,,,,,,,,,,,
CM>/,沙玛，《思》沙玛,,,,,,,,,,,,,,,,
CM>BR/,善以别，《思》舍默贝尔,,,,,,,,,,,,,,,,
CM>H/,示米亚（示米暗），《思》史玛,,,,,,,,,,,,,,,,
CM>M/,示米暗，《思》史曼,,,,,,,,,,,,,,,,
CMC/,太阳,,,,,,,,,,,,,,,,
CMCRJ/,珊示莱，《思》沙默舍赖,,,,,,,,,,,,,,,,
CMCWN/,参孙，《思》三松,,,,,,,,,,,,,,,,
CMD[,摧毁；根绝；断绝；粉碎,,被消灭,,,,消灭,,,,,,,,,,
CMGR/,珊迦，《思》沙默加尔,,,,,,,,,,,,,,,,
CMHWT/,珊合，《思》沙默胡特,,,,,,,,,,,,,,,,
CMJ/,沙买,,,,,,,,,,,,,,,,
CMJD</,示米大，《思》舍米达,,,,,,,,,,,,,,,,
CMJD<J/,示米大族，《思》舍米达家族,,,,,,,,,,,,,,,,
CMJM/,天；天空,,,,,,,,,,,,,,,,
CMJNJ/,第八,,,,,,,,,,,,,,,,
CMJRMWT/,示米拉末，《思》舍米辣摩特,,,,,,,,,,,,,,,,
CMM/,荒凉；变得荒凉；被遗弃，被撇弃,,,,,,,,,,,,,,,,
CMMWN/,惊骇；惊恐,,,,,,,,,,,,,,,,
CMM[,荒凉；变得荒凉；被遗弃，被撇弃,荒凉,被荒凉,荒凉,,惊愕,使荒凉,荒凉,,,,,,,,,
CMN/,油；膏,,,,,,,,,,,,,,,,
CMN=/,肥畜,,,,,,,,,,,,,,,,
CMN==/,肥沃；丰富,,,,,,,,,,,,,,,,
CMNH/,八,,,,,,,,,,,,,,,,
CMN[,营养充足的，肥胖的,肥胖,,,,,使肥胖,,,,,,,,,,
CMRH/,眼皮，眼睑,,,,,,,,,,,,,,,,
CMRJ/,申利，《思》史默黎,,,,,,,,,,,,,,,,
CMRJT/,示米利，《思》史默黎特,,,,,,,,,,,,,,,,
CMRNJ/,伸仑族，《思》史默龙家族,,,,,,,,,,,,,,,,
CMRT/,申拉，《思》史默辣特,,,,,,,,,,,,,,,,
CMRWN=/,伸仑，《思》史默龙,,,,,,,,,,,,,,,,
CMRWN==/,伸仑，《思》史默龙,,,,,,,,,,,,,,,,
CMRWN_MR>WN/,伸仑‧米仑，《思》史默龙,,,,,,,,,,,,,,,,
CMR[,观察；观看；注意,守护,被守护,敬拜,,谨慎,,,,,,,,,,,
CMTJ/,舒玛人，《思》叔玛人,,,,,,,,,,,,,,,,
CMVH/,松开；豁免,,,,,,,,,,,,,,,,
CMV[,滑倒,释放,被摔下,,,,使释放,,,,,,,,,,
CMW</,沙母亚，《思》沙慕亚,,,,,,,,,,,,,,,,
CMW<H/,新闻；报告；谣言；消息,,,,,,,,,,,,,,,,
CMW>L/,撒母耳，《思》撒慕尔,,,,,,,,,,,,,,,,
CMWT/,沙玛，《思》沙摩特,,,,,,,,,,,,,,,,
CMY/,低语,,,,,,,,,,,,,,,,
CMYH/,笑柄,,,,,,,,,,,,,,,,
CN/,牙齿,,,,,,,,,,,,,,,,
CN<R/,示拿，《现》巴比伦，《思》史纳尔,,,,,,,,,,,,,,,,
CN=/,牙齿,,,,,,,,,,,,,,,,
CN>B/,示纳，《思》史纳布,,,,,,,,,,,,,,,,
CN>N/,成千上万,,,,,,,,,,,,,,,,
CN>YR/,示拿萨，《思》舍纳匝尔,,,,,,,,,,,,,,,,
CNH/,年,,,,,,,,,,,,,,,,
CNHBJM/,象牙,,,,,,,,,,,,,,,,
CNH[,不同；改变；受到影响,改变,被改变,更改,改变,伪装,,,,,,,,,,,
CNJ/,第二,,,,,,,,,,,,,,,,
CNJ=/,朱红色,,,,,,,,,,,,,,,,
CNJM/,二,,,,,,,,,,,,,,,,
CNJNH/,嘲讽,,,,,,,,,,,,,,,,
CNN=[,磨砺；磨快,,,,,,,,,,,,,,,,
CNN[,磨砺；磨快,磨锐,,,,感到刺痛,,,,,,,,,,,
CNS[,束紧腰部；把斗篷塞进腰带；系紧裙子,,,,,,,,,,,,,,,,
CP</,大量；丰富,,,,,,,,,,,,,,,,
CP<H/,军队；在一起的一群人,,,,,,,,,,,,,,,,
CP<J/,示非，《思》史非,,,,,,,,,,,,,,,,
CPH[,,,被扫光,,被露出,,,,,,,,,,,,
CPJM/,书品，《思》叔平,,,,,,,,,,,,,,,,
CPJPN/,毒蛇,,,,,,,,,,,,,,,,
CPJR/,沙斐，《思》沙非尔,,,,,,,,,,,,,,,,
CPK/,倾倒的地方,,,,,,,,,,,,,,,,
CPKH/,阴茎,,,,,,,,,,,,,,,,
CPK[,被倒出；溢出；涌出,倒出,被倒出,,被倒出,被倒出,,,,,,,,,,,
CPL/,低,,,,,,,,,,,,,,,,
CPLH/,被降低；被放低,,,,,,,,,,,,,,,,
CPLH=/,谢非拉，低地，《思》盆地，平原,,,,,,,,,,,,,,,,
CPLWT/,闲散；懒惰,,,,,,,,,,,,,,,,
CPL[,,低下,,,,,贬低,,,,,,,,,,
CPM/,示番，《思》舍番,,,,,,,,,,,,,,,,
CPM=/,沙番，《思》沙凡,,,,,,,,,,,,,,,,
CPMJ/,实弗米人，《思》史斐米人,,,,,,,,,,,,,,,,
CPN/,石獾，岩狸,,,,,,,,,,,,,,,,
CPN=/,石獾，岩狸,,,,,,,,,,,,,,,,
CPR/,美,,,,,,,,,,,,,,,,
CPR=/,美,,,,,,,,,,,,,,,,
CPV/,审判；惩罚,,,,,,,,,,,,,,,,
CPV=/,沙法，《思》沙法特,,,,,,,,,,,,,,,,
CPVN/,拾弗但，《思》色弗堂,,,,,,,,,,,,,,,,
CPV[,判决；宣告判决；执行正义；裁决（案件）,审判,争辩,,,,,,,,,,,,,,对手
CPWV/,审判；惩罚,,,,,,,,,,,,,,,,
CPXH/,女奴，婢女,,,,,,,,,,,,,,,,
CQ<RWRH/,浅坑,,,,,,,,,,,,,,,,
CQ<[,下沉，下降,下沉,沉没,,,,使下沉,,,,,,,,,,
CQD/,杏树；杏仁,,,,,,,,,,,,,,,,
CQH[,弄湿了；滋润了,,,,被灌水,,给人喝水,,,,,,,,,,
CQL/,舍客勒，《思》协刻耳,,,,,,,,,,,,,,,,
CQL[,,称重,被称重,,,,,,,,,,,,,,
CQMH/,桑树，无花果桑树,,,,,,,,,,,,,,,,
CQP[,俯瞰,,,,,,,,,,,,,,,,
CQQ[,冲上来；冲出来,冲击,,,,乱冲,,,,,,,,,,,
CQR/,背信弃义；背叛；变节,,,,,,,,,,,,,,,,
CQR[,做出虚假行为；背信弃义；欺骗,,,,,,,,,,,,,,,,
CQT/,水槽,,,,,,,,,,,,,,,,
CQV/,安静；安全,,,,,,,,,,,,,,,,
CQV[,静止；平静,得安宁,,,,,得安息,,,,,,,,,,
CQWJ/,饮料,,,,,,,,,,,,,,,,
CQWY/,可憎的,,,,,,,,,,,,,,,,
CQY/,可憎恶的东西,,,,,,,,,,,,,,,,
CQY[,沾染自己；使自己变成可憎恶的,,,,,,,,,,,,,,,,
CR/,肚脐,,,,,,,,,,,,,,,,
CRB/,灼热,,,,,,,,,,,,,,,,
CRBJH/,示利比，《思》舍勒彼雅，舍肋彼雅,,,,,,,,,,,,,,,,
CRBJV/,权杖,,,,,,,,,,,,,,,,
CRC=/,根,,,,,,,,,,,,,,,,
CRC[,,,,连根拔起,,,生根,,,,,,,,,扎根,生根
CRH[,,松开,,释放,,,,,,,,,,,,,
CRJ/,沙赖,,,,,,,,,,,,,,,,
CRWN/,沙仑，《思》沙龙，原野,,,,,,,,,,,,,,,,
CRWNJ/,沙仑人，《思》沙龙人,,,,,,,,,,,,,,,,
CRWXN/,沙鲁险，《思》沙鲁恒,,,,,,,,,,,,,,,,
CS</,裂（蹄）,,,,,,,,,,,,,,,,
CS<[,,裂开,,撕裂,,,,,,,,,,,,,
CSH[,掳掠；洗劫；抢夺，掠夺,,,,,,,,,,,,,,,,
CSP[,切成碎片,,,,,,,,,,,,,,,,
CSS[,掳掠；洗劫；抢夺，掠夺,掠夺,被掠夺,,,,,,,,,,,,,,
CTH[,,喝,被喝,,,,,,,,,,,,,,
CTJH/,喝酒,,,,,,,,,,,,,,,,
CTLXJ/,书提拉族，《思》叔特拉家族,,,,,,,,,,,,,,,,
CTM/,领受异象；看见异象，得见异象,,,,,,,,,,,,,,,,
CTN[,男人，男丁,,,,,,,,,,,,,,,,
CTQ[,静止；变为平静,,,,,,,,,,,,,,,,
CTR/,示达，《思》舍塔尔,,,,,,,,,,,,,,,,
CVH/,金合欢树；刺槐,,,,,,,,,,,,,,,,
CVJM/,什亭，《思》史廷,,,,,,,,,,,,,,,,
CVP/,激流；洪水,,,,,,,,,,,,,,,,
CVP[,,冲洗,被冲洗,,被漂洗,,,,,,,,,,,,
CVR[,官员；工头；监工,,,,,,,,,,,,,,,,
CVV/,祸害,,,,,,,,,,,,,,,,
CVX[,扩散；散开,展开,,伸展,,,,,,,,,,,,,
CW<==/,求救,,,,,,,,,,,,,,,,
CW<>/,书雅，《思》叔亚,,,,,,,,,,,,,,,,
CW<H/,求救,,,,,,,,,,,,,,,,
CW<L/,野狗，胡狼；狐狸,,,,,,,,,,,,,,,,
CW<L=/,野狗，胡狼；狐狸,,,,,,,,,,,,,,,,
CW<L==/,野狗，胡狼；狐狸,,,,,,,,,,,,,,,,
CW<R/,守城门的人；守卫,,,,,,,,,,,,,,,,
CW>/,谎话；撒谎；诡计；欺诈,,,,,,,,,,,,,,,,
CWB=[,再次发生,,,,,,,,,,,,,,,,
CWBH/,返回；后悔；悔改,,,,,,,,,,,,,,,,
CWBL/,朔巴，《思》芍巴耳,,,,,,,,,,,,,,,,
CWBQ/,朔百，《思》芍贝克,,,,,,,,,,,,,,,,
CWB[,再次发生,转身,,带回,,,归还,被归还,,,,,,,,,
CWC>/,沙威沙，《思》沙委沙,,,,,,,,,,,,,,,,
CWCN/,百合,,,,,,,,,,,,,,,,
CWCN=/,百合,,,,,,,,,,,,,,,,
CWH/,沙微谷，《思》沙委山谷,,,,,,,,,,,,,,,,
CWH=/,沙微谷，《思》沙委山谷,,,,,,,,,,,,,,,,
CWH[,,相似,,使平坦,,,比较,,,,,相似,,,,,
CWL/,裙裾,,,,,,,,,,,,,,,,
CWLL/,剥光衣服；赤裸,,,,,,,,,,,,,,,,
CWMJM/,蒜头,,,,,,,,,,,,,,,,
CWMR/,朔默，《思》芍默尔,,,,,,,,,,,,,,,,
CWNJ/,书尼，《思》叔尼,,,,,,,,,,,,,,,,
CWNJ=/,书尼，《思》叔尼,,,,,,,,,,,,,,,,
CWNM/,书念，《思》叔能,,,,,,,,,,,,,,,,
CWP=[,击打；压碎；使受伤,,,,,,,,,,,,,,,,
CWPK/,朔法，《思》芍法客,,,,,,,,,,,,,,,,
CWPMJ/,书反族，《思》舍孚番家族,,,,,,,,,,,,,,,,
CWPR/,角；号角,,,,,,,,,,,,,,,,
CWP[,击打；压碎；使受伤,,,,,,,,,,,,,,,,
CWQ/,大腿；腿,,,,,,,,,,,,,,,,
CWQ[,,,,灌溉,,,溢出,,,,,,,,,,
CWRH/,一行,,,,,,,,,,,,,,,,
CWTLX/,书提拉，《思》叔特拉,,,,,,,,,,,,,,,,
CWV[,,徘徊,,漂浮,,摇摆,,,,,,,,,,,
CWX/,书亚，《思》叔哈,,,,,,,,,,,,,,,,
CWXJ/,书亚人，《思》叔亚人,,,,,,,,,,,,,,,,
CWXM/,书含，《思》叔罕,,,,,,,,,,,,,,,,
CWXMJ/,书含宗族，《思》叔罕家族,,,,,,,,,,,,,,,,
CX/,谦逊；谦虚,,,,,,,,,,,,,,,,
CXD/,礼物；贿赂,,,,,,,,,,,,,,,,
CXH[,,弯腰,,,,,压低,,,,,,,,,,
CXJN/,疮；炎症,,,,,,,,,,,,,,,,
CXJT/,坑,,,,,,,,,,,,,,,,
CXL/,流浪的雄狮,,,,,,,,,,,,,,,,
CXLT/,施喜列；香螺,,,,,,,,,,,,,,,,
CXP/,海鸥,,,,,,,,,,,,,,,,
CXPT/,痨病，肺病,,,,,,,,,,,,,,,,
CXR/,黎明，破晓,,,,,,,,,,,,,,,,
CXR=/,黑色的；乌黑的,,,,,,,,,,,,,,,,
CXRJH/,示哈利，《思》舍哈黎雅,,,,,,,,,,,,,,,,
CXRJM/,沙哈连，《思》沙哈辣殷,,,,,,,,,,,,,,,,
CXRWT/,黑发；青年,,,,,,,,,,,,,,,,
CXR[,,渴望,,寻求,,,,,,,,,,,,,
CXT[,毁了；坏了；有残疾,,被毁坏,毁坏,,,摧毁,被摧毁,,,,,,,,,
CXV[,,宰杀,被宰杀,,,,,,,,,,,,,,
CXWR/,灰；烟尘,,,,,,,,,,,,,,,,
CXWT/,坑,,,,,,,,,,,,,,,,
CXX[,变得低,弯腰,被弯曲,,,,击倒,,,,,,,,,,
CYP/,巨大的；压倒性的,,,,,,,,,,,,,,,,
CZP[,看,,,,,,,,,,,,,,,,
CZR[,纺；搓,,,,,,,,,,,,,,,,
D</,知识；理解；意见,,,,,,,,,,,,,,,,
D<H/,知识；理解；意见,,,,,,,,,,,,,,,,
D<K[,熄灭；扑灭,熄灭,干枯,,被熄灭,,,,,,,,,,,,
D<T/,知道，了解,,,,,,,,,,,,,,,,
D<W>L/,丢珥，《思》勒乌耳,,,,,,,,,,,,,,,,
D>BH/,沮丧；惊慌；绝望,,,,,,,,,,,,,,,,
D>BWN/,软弱；精神消耗；精神沮丧,,,,,,,,,,,,,,,,
D>B[,软弱；变得黯淡；感到晕眩；变得衰弱；疲乏,,,,,,,,,,,,,,,,
D>G/,多益，《思》多厄格,,,,,,,,,,,,,,,,
D>GH/,惧怕，惊惶；焦虑；忧虑,,,,,,,,,,,,,,,,
D>H/,黑鸢，鹞鹰,,,,,,,,,,,,,,,,
D>H[,俯冲；猛扑,,,,,,,,,,,,,,,,
DB/,（叙利亚品种褐色的）熊,,,,,,,,,,,,,,,,
DB>/,力量；安全,,,,,,,,,,,,,,,,
DBB[,流入；流过,,,,,,,,,,,,,,,,
DBC/,蜜，蜂蜜,,,,,,,,,,,,,,,,
DBH/,报告恶信；谗谤，诋毁；散布谣言,,,,,,,,,,,,,,,,
DBLH/,无花果饼,,,,,,,,,,,,,,,,
DBLH=/,第伯拉他，《思》黎贝拉,,,,,,,,,,,,,,,,
DBLJM/,滴拉音，《思》狄布拉因,,,,,,,,,,,,,,,,
DBQ/,连接的地方；焊接点,,,,,,,,,,,,,,,,
DBQ=/,连系，相接；接触，碰到,,,,,,,,,,,,,,,,
DBQ[,粘贴在一起；紧紧结连；胶结,粘附,,,被粘合,,使粘附,被使粘附,,,,,,,,,
DBR=/,灾祸；瘟疫,,,,,,,,,,,,,,,,
DBR===/,灾祸；瘟疫,,,,,,,,,,,,,,,,
DBR=[,,,,转身背向,,,驱赶回去,,,,,,,,,,
DBRH/,法律案件，诉讼案件；纠纷,,,,,,,,,,,,,,,,
DBRJ/,底伯利，《思》狄贝黎,,,,,,,,,,,,,,,,
DBRT/,大比拉，《思》多贝辣特,,,,,,,,,,,,,,,,
DBRT=/,大比拉，《思》多贝辣特,,,,,,,,,,,,,,,,
DBR[,毁灭；清除；剿灭,说话,被说,讲述,被讲述,相互交谈,,,,,,,,,,,
DBWRH/,蜂；蜜蜂,,,,,,,,,,,,,,,,
DC>/,绿色植物；草，青草,,,,,,,,,,,,,,,,
DC>[,,长绿,,,,,使发芽,,,,,,,,,,
DCN/,油，肥油，肥甘，脂油，油脂,,,,,,,,,,,,,,,,
DCN=/,长得肥胖，发胖，变肥,,,,,,,,,,,,,,,,
DCN[,长得肥胖，发胖，变肥,变肥,,使肥,被使肥,,,,,,,,油流,,,,
DD/,乳房，胸怀,,,,,,,,,,,,,,,,
DDH[,带领到达；领路,,,,,,,,,,,,,,,,
DDN/,底但，《思》德丹,,,,,,,,,,,,,,,,
DG/,鱼,,,,,,,,,,,,,,,,
DGH/,鱼,,,,,,,,,,,,,,,,
DGH[,生养众多；增加；多多繁衍；昌盛,,,,,,,,,,,,,,,,
DGL/,旗帜，旌旗，军旗,,,,,,,,,,,,,,,,
DGL[,,竖立旗帜,聚集旗帜下,,,,,,,,,,,,,,
DGN/,谷物；新谷,,,,,,,,,,,,,,,,
DGR[,孵蛋,,,,,,,,,,,,,,,,
DGWN/,大衮，《思》达贡,,,,,,,,,,,,,,,,
DHM[,受惊；受惊吓；猝不及防,,,,,,,,,,,,,,,,
DHRH/,奔腾，奔驰；跳跃，踢跳,,,,,,,,,,,,,,,,
DHR[,奔腾，奔驰；跳跃，踢跳,,,,,,,,,,,,,,,,
DJ/,足量，足够，充足,,,,,,,,,,,,,,,,
DJBN/,底本，《思》狄朋,,,,,,,,,,,,,,,,
DJC/,打谷物，打粮食,,,,,,,,,,,,,,,,
DJCN/,底珊，《思》狄商,,,,,,,,,,,,,,,,
DJCWN=/,羚羊,,,,,,,,,,,,,,,,
DJG/,渔夫，打鱼的,,,,,,,,,,,,,,,,
DJH/,黑鸢，鹞鹰,,,,,,,,,,,,,,,,
DJMWN/,底们，《思》狄孟,,,,,,,,,,,,,,,,
DJMWNH/,底摩拿，《思》狄摩纳,,,,,,,,,,,,,,,,
DJN=/,法官；伸冤者；仲裁者,,,,,,,,,,,,,,,,
DJNH/,底拿，《思》狄纳,,,,,,,,,,,,,,,,
DJN[,,审判,相争论,,,,,,,,,,,,,,
DJQ/,抵抗围攻的墙；垒，堡垒；土墙；土堆,,,,,,,,,,,,,,,,
DJW/,墨,,,,,,,,,,,,,,,,
DJ_ZHB/,底撒哈，《思》狄匝哈布,,,,,,,,,,,,,,,,
DK/,被压碎；被迫害；受欺压；被践踏,,,,,,,,,,,,,,,,
DK>/,压坏的；损伤的,,,,,,,,,,,,,,,,
