lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
BVXH/,kepercayaan,,,,,,,,,,,,,,,,
BVXWN/,"kepercayaan, dapat dipercaya, sifat dapat dipercaya",,,,,,,,,,,,,,,,
BVXWT/,keamanan,,,,,,,,,,,,,,,,
BVX[,"kepercayaan, dapat dipercaya, sifat dapat dipercaya",mempercayai,,,,,memberi kepercayaan,,,,,,,,,,
BW>[,"Hamat, Orang-orang Hamat, Lebo Hamat",masuk,,,,,membawa masuk,dibawa masuk,,,,,,,,,
BWCH/,"malu, memalukan, merasa malu, dipermalukan",,,,,,,,,,,,,,,,
BWC[,"malu, memalukan, merasa malu, dipermalukan",malu,,menunda,,saling malu,mengaibkan,,,,,,,,,,
BWJ/,Bavai,,,,,,,,,,,,,,,,
BWK[,membingungkan,,,,,,,,,,,,,,,,
BWL/,Bul,,,,,,,,,,,,,,,,
BWL=/,Bul,,,,,,,,,,,,,,,,
BWNH/,Buna,,,,,,,,,,,,,,,,
BWQH/,kekosongan,,,,,,,,,,,,,,,,
BWQR/,penggembala,,,,,,,,,,,,,,,,
BWR/,"lubang, jebakan",,,,,,,,,,,,,,,,
BWS[,"menginjak-injak, terinjak",menginjak,,menginjak-injak,,mengeluarkan dengan kasar,,diinjak,,,,,,,,,
BWY/,kain putih,,,,,,,,,,,,,,,,
BWYY/,tanduk,,,,,,,,,,,,,,,,
BWZ/,Buz,,,,,,,,,,,,,,,,
BWZ=/,Buz,,,,,,,,,,,,,,,,
BWZ==/,Buz,,,,,,,,,,,,,,,,
BWZH/,"penghinaan, hina",,,,,,,,,,,,,,,,
BWZJ/,Buzit,,,,,,,,,,,,,,,,
BWZJ=/,Buzit,,,,,,,,,,,,,,,,
BXJR/,yang terpilih,,,,,,,,,,,,,,,,
BXL[,membenci,,,,,,,,,,,,,,,,
BXN/,ujian,,,,,,,,,,,,,,,,
BXN=/,menara,,,,,,,,,,,,,,,,
BXN[,"ujian, ujian-ujian, menguji",menguji,diuji,,diuji,,,,,,,,,,,,
BXRJM/,Bahurim,,,,,,,,,,,,,,,,
BXRJM=/,Bahurim,,,,,,,,,,,,,,,,
BXR[,yang terpilih,memilih,dipilih,,,,,,,,,,,,,,
BXWN/,pemeriksa,,,,,,,,,,,,,,,,
BXWN=/,pemeriksa,,,,,,,,,,,,,,,,
BXWR/,yang terpilih,,,,,,,,,,,,,,,,
BY/,lumpur,,,,,,,,,,,,,,,,
BY</,keuntungan haram,,,,,,,,,,,,,,,,
BY<[,,potongan,,memotong,,,,,,,,,,,,,
BYH/,rawa,,,,,,,,,,,,,,,,
BYJ/,Bezai,,,,,,,,,,,,,,,,
BYJR/,panen,,,,,,,,,,,,,,,,
BYJR=/,panen,,,,,,,,,,,,,,,,
BYL/,bawang merah,,,,,,,,,,,,,,,,
BYL>L/,Bezalel,,,,,,,,,,,,,,,,
BYLWT/,Bazlut,,,,,,,,,,,,,,,,
BYQ/,adonan,,,,,,,,,,,,,,,,
BYQT/,Bozkath,,,,,,,,,,,,,,,,
BYQ[,bengkak,,,,,,,,,,,,,,,,
BYR/,Bezer,,,,,,,,,,,,,,,,
BYR=/,Bezer,,,,,,,,,,,,,,,,
BYR==/,Bezer,,,,,,,,,,,,,,,,
BYR=[,"kubu, benteng, dibentengi, pertahanan",,ditahan,menghalangi,,,,,,,,,,,,,
BYRH=/,Bozrah,,,,,,,,,,,,,,,,
BYRT/,kekeringan,,,,,,,,,,,,,,,,
BYRWN/,benteng,,,,,,,,,,,,,,,,
BYR[,"kubu, benteng, dibentengi, pertahanan",,,,,,,,,,,,,,,,
BYWR/,"kubu, benteng, dibentengi, pertahanan",,,,,,,,,,,,,,,,
BZ/,jarahan,,,,,,,,,,,,,,,,
BZ>[,membagi,,,,,,,,,,,,,,,,
BZH/,jarahan,,,,,,,,,,,,,,,,
BZH[,"penghinaan, hina",menista,teristimewakan,,,,merendahkan,,,,,,,,,,
BZJWN/,"penghinaan, hina",,,,,,,,,,,,,,,,
BZJWTJH/,Biziota,,,,,,,,,,,,,,,,
BZQ/,kilat,,,,,,,,,,,,,,,,
BZQ=/,Bezek,,,,,,,,,,,,,,,,
BZR[,"menyebar, penyebaran",,,,,,,,,,,,,,,,
BZT>/,Bizta,,,,,,,,,,,,,,,,
BZZ[,merampas,merampas,dirampas,,dirampas,,,,,,,,,,,,
C<<=[,"kesenangan, kesukaan, gembira",saling melekat,,,,saling melekat,melekatkan,,,,,,,,,,
C<<[,"kesenangan, kesukaan, gembira",,,bermain,dibelai,bergembira,,,,,,,,,,,
C<CGZ/,Syasygaz,,,,,,,,,,,,,,,,
C<H/,menatap,,,,,,,,,,,,,,,,
C<H[,menatap,memandang,,,,memandang sekeliling,mengalihkan pandangan,,,,,,,,,,
C<L/,genggaman,,,,,,,,,,,,,,,,
C<LBJM/,Salbim,,,,,,,,,,,,,,,,
C<LBJN/,Salbim,,,,,,,,,,,,,,,,
C<LBNJ/,Salboni,,,,,,,,,,,,,,,,
C<LJM/,Shalim,,,,,,,,,,,,,,,,
C<N[,bersandar,,,,,,,,,,,,,,,,
C<P/,Syaaf,,,,,,,,,,,,,,,,
C<R/,"gerbang, palang gerbang, penjaga gerbang, pintu gerbang",,,,,,,,,,,,,,,,
C<R=/,"gerbang, palang gerbang, penjaga gerbang, pintu gerbang",,,,,,,,,,,,,,,,
C<R==/,busuk,,,,,,,,,,,,,,,,
C<RJH/,Searyah,,,,,,,,,,,,,,,,
C<RJM/,Syaaraim,,,,,,,,,,,,,,,,
C<VH/,debur,,,,,,,,,,,,,,,,
C<VNZ/,kain campur,,,,,,,,,,,,,,,,
C>B[,ambil air,,,,,,,,,,,,,,,,
C>GH/,auman,,,,,,,,,,,,,,,,
C>G[,mengaum,,,,,,,,,,,,,,,,
C>H==[,menatap,,,,,,,,,,,,,,,,
C>H[,,menjadi sunyi,rusak,,,,merusakkan,,,,,,,,,,
C>JH/,kehancuran,,,,,,,,,,,,,,,,
C>L/,Seal,,,,,,,,,,,,,,,,
C>LH/,permintaan,,,,,,,,,,,,,,,,
C>LH=/,permintaan,,,,,,,,,,,,,,,,
C>LTJ>L/,Sealtiel,,,,,,,,,,,,,,,,
C>L[,,meminta,minta izin,menanyakan,,,memberikan pinjaman,,,,,,,,,,
C>NN/,"sombong, orang sombong, kesombongan",,,,,,,,,,,,,,,,
C>N[,tenang,,,,,,,,,,,,,,,,
C>P[,"menginjak-injak, terinjak",,,,,,,,,,,,,,,,
C>R/,keluarga,,,,,,,,,,,,,,,,
C>R=/,sisa-sisa,,,,,,,,,,,,,,,,
C>RH/,kerabat,,,,,,,,,,,,,,,,
C>RH=/,Seera,,,,,,,,,,,,,,,,
C>RJT/,sisa-sisa,,,,,,,,,,,,,,,,
C>R[,tinggal,tertinggal,tersisa,,,,meninggalkan,,,,,,,,,,
C>R_JCWB/,Sear Yasub,,,,,,,,,,,,,,,,
C>S[,merampas,,,,,,,,,,,,,,,,
C>T/,"terpencil, perusakan",,,,,,,,,,,,,,,,
C>V/,penghinaan,,,,,,,,,,,,,,,,
C>WL=/,Saul (PL),,,,,,,,,,,,,,,,
C>WLJ/,Sauli,,,,,,,,,,,,,,,,
C>WN/,"kengerian, mengerikan, ngeri",,,,,,,,,,,,,,,,
C>WN=/,"kengerian, mengerikan, ngeri",,,,,,,,,,,,,,,,
CB</,tujuh,,,,,,,,,,,,,,,,
CB<=/,tujuh,,,,,,,,,,,,,,,,
CB<==/,tujuh,,,,,,,,,,,,,,,,
CB<H/,Syeba,,,,,,,,,,,,,,,,
CB<NH/,tujuh,,,,,,,,,,,,,,,,
CB<[,"nazar, sumpah, bersumpah demi",,,,,,,,,,,,,,,,
CB>/,Syeba,,,,,,,,,,,,,,,,
CBB/,serpihan,,,,,,,,,,,,,,,,
CBC[,bingung,,,,,,,,,,,,,,,,
CBH[,"Tawanan, Para Tawanan, Menawan, Ditawan",menawan,ditawan,,,,,,,,,,,,,,
CBJ/,"Tawanan, Para Tawanan, Menawan, Ditawan",,,,,,,,,,,,,,,,
CBJ<J/,ketujuh,,,,,,,,,,,,,,,,
CBJ=/,Sobi,,,,,,,,,,,,,,,,
CBJB/,nyala,,,,,,,,,,,,,,,,
CBJH=/,"Tawanan, Para Tawanan, Menawan, Ditawan",,,,,,,,,,,,,,,,
CBJL/,jalan,,,,,,,,,,,,,,,,
CBJS/,ikat kepala,,,,,,,,,,,,,,,,
CBJT/,"Tawanan, Para Tawanan, Menawan, Ditawan",,,,,,,,,,,,,,,,
CBL/,ujung baju,,,,,,,,,,,,,,,,
CBLT/,"biji-bijian, ladang gandum",,,,,,,,,,,,,,,,
CBLWL/,siput,,,,,,,,,,,,,,,,
CBN>/,Sebna,,,,,,,,,,,,,,,,
CBNJH/,Sebanias,,,,,,,,,,,,,,,,
CBQ[,tinggal,,,,,,,,,,,,,,,,
CBR/,"biji-bijian, ladang gandum",,,,,,,,,,,,,,,,
CBR=/,"biji-bijian, ladang gandum",,,,,,,,,,,,,,,,
CBR===/,"biji-bijian, ladang gandum",,,,,,,,,,,,,,,,
CBR=[,membeli biji-bijian,membeli biji-bijian,,,,,menjual biji-bijian,,,,,,,,,,
CBRJM/,Syebarim,,,,,,,,,,,,,,,,
CBRWN/,patahan,,,,,,,,,,,,,,,,
CBR[,pecah,memecah,pecah,menghancurkan,,,membuat pecah,dihancurkan,,,,,,,,,
CBT/,Sabat,,,,,,,,,,,,,,,,
CBT=/,istirahat,,,,,,,,,,,,,,,,
CBTJ/,Syabbetai,,,,,,,,,,,,,,,,
CBTWN/,Sabat,,,,,,,,,,,,,,,,
CBT[,berhenti,berhenti,berhenti,,,,menghentikan,,,,,,,,,,
CBV/,"suku, suku-suku, kesukuan, anggota suku",,,,,,,,,,,,,,,,
CBV=/,Sebat,,,,,,,,,,,,,,,,
CBW/,akik,,,,,,,,,,,,,,,,
CBW</,Sabat,,,,,,,,,,,,,,,,
CBW<H/,"nazar, sumpah, bersumpah demi",,,,,,,,,,,,,,,,
CBW>L/,Sebuel,,,,,,,,,,,,,,,,
CBWR/,pecah,,,,,,,,,,,,,,,,
CBWT/,"Tawanan, Para Tawanan, Menawan, Ditawan",,,,,,,,,,,,,,,,
CBX[,,,,memuji,,membanggakan diri,,,,,,,,,,,
CBY/,kesakitan,,,,,,,,,,,,,,,,
CBY[,anyam,,,menenun bermotif,terpasang,,,,,,,,,,,,
CC/,enam,,,,,,,,,,,,,,,,
CC=/,enam,,,,,,,,,,,,,,,,
CC==/,enam,,,,,,,,,,,,,,,,
CC>[,memimpin,,,,,,,,,,,,,,,,
CCBYR/,Syesbassar,,,,,,,,,,,,,,,,
CCH[,seperenam,,,,,,,,,,,,,,,,
CCJ/,keenam,,,,,,,,,,,,,,,,
CCJ=/,Syesyai,,,,,,,,,,,,,,,,
CCJ==/,Syasyai,,,,,,,,,,,,,,,,
CCK/,Babel,,,,,,,,,,,,,,,,
CCN/,Syesan,,,,,,,,,,,,,,,,
CCQ/,Syesak,,,,,,,,,,,,,,,,
CCR/,merah,,,,,,,,,,,,,,,,
CD/,"hancur, binasa, penghancur, pembinasa",,,,,,,,,,,,,,,,
CD=/,payudara,,,,,,,,,,,,,,,,
CD==/,"setan, roh jahat, roh najis",,,,,,,,,,,,,,,,
CD===/,"hancur, binasa, penghancur, pembinasa",,,,,,,,,,,,,,,,
CDD[,,meruntuhkan,hancur,menganiaya,dihancurkan,,,dihancurkan,,,,,,,,,
CDH/,gundik,,,,,,,,,,,,,,,,
CDJ/,Maha Kuasa,,,,,,,,,,,,,,,,
CDJ>WR/,Shedeur,,,,,,,,,,,,,,,,
CDMH/,"kebun anggur, kebun-kebun anggur",,,,,,,,,,,,,,,,
CDPH/,kering,,,,,,,,,,,,,,,,
CDPWN/,kering,,,,,,,,,,,,,,,,
CDP[,terbakar,,,,,,,,,,,,,,,,
CDRK/,Sadrakh,,,,,,,,,,,,,,,,
CDR[,berusaha,,,,,,,,,,,,,,,,
CFH[,seperenam,,,,,,,,,,,,,,,,
CG<WN/,kegilaan,,,,,,,,,,,,,,,,
CG<[,gila,,,,gila,berbuat gila,,,,,,,,,,,
CGGH/,ketidaksengajaan,,,,,,,,,,,,,,,,
CGG[,menyimpang,,,,,,,,,,,,,,,,
CGH[,"gemetar, gemetaran, bergetar, berguncang",tersesat,,,,,menyesatkan,,,,,,,,,,
CGJ>H/,kesalahan,,,,,,,,,,,,,,,,
CGJWN/,Sigayon,,,,,,,,,,,,,,,,
CGR/,keturunan,,,,,,,,,,,,,,,,
CGX[,memandang,,,,,,,,,,,,,,,,
CHM/,batu oniks,,,,,,,,,,,,,,,,
CHM=/,batu oniks,,,,,,,,,,,,,,,,
CJ/,pemberian,,,,,,,,,,,,,,,,
CJ>N/,Sion,,,,,,,,,,,,,,,,
CJBH/,tinggal,,,,,,,,,,,,,,,,
CJC/,marmer,,,,,,,,,,,,,,,,
CJC>/,Sisa,,,,,,,,,,,,,,,,
CJCQ/,Sisak,,,,,,,,,,,,,,,,
CJH[,lupa,,,,,,,,,,,,,,,,
CJMWN/,Simon,,,,,,,,,,,,,,,,
CJR/,lagu,,,,,,,,,,,,,,,,
CJRH/,lagu,,,,,,,,,,,,,,,,
CJR[,bernyanyi,menyanyi,,menyanyikan,,,,dinyanyikan,,,,,,,,,
CJT/,duri,,,,,,,,,,,,,,,,
CJT=/,"menunjuk, ditunjuk",,,,,,,,,,,,,,,,
CJT[,"menunjuk, ditunjuk",meletakkan,,,,,,dikenakan,,,,,,,,,
CJV/,cambuk,,,,,,,,,,,,,,,,
CJXH/,"lubang, jebakan",,,,,,,,,,,,,,,,
CJXWR/,Sihor,,,,,,,,,,,,,,,,
CJXWR_LBNT/,Sihor-libnat,,,,,,,,,,,,,,,,
CJX[,,mengalir,,,,putus asa,,,,,,,,,,,
CJZ>/,Siza,,,,,,,,,,,,,,,,
CKBH/,air mani,,,,,,,,,,,,,,,,
CKBT/,senggama,,,,,,,,,,,,,,,,
CKB[,"menipu, mendustakan, penipu, pendusta",berbaring,bersetubuh dengan,,bersetubuh dengan,,membaringkan,dibaringkan,,,,,,,,,
CKK[,mereda,berkurang,,,,,mengurangi,,,,,,,,,,
CKLJM/,kehilangan,,,,,,,,,,,,,,,,
CKL[,tandus,kehilangan anak,,membuat kehilangan anak,,,keguguran,,,,,,,,,,
CKM/,bahu,,,,,,,,,,,,,,,,
CKM=/,bahu,,,,,,,,,,,,,,,,
CKM==/,bahu,,,,,,,,,,,,,,,,
CKM===/,Sikhem,,,,,,,,,,,,,,,,
CKMJ/,Sikemit,,,,,,,,,,,,,,,,
CKM[,bangun pagi,,,,,,,,,,,,,,,,
CKN/,"tetangga, bertetangga",,,,,,,,,,,,,,,,
CKNJH/,Sekaniah,,,,,,,,,,,,,,,,
CKN[,"selamat, menyelamatkan, diselamatkan, keselamatan.",mendiami,,membuat mendiami,,,membuat mendiami,,,,,,,,,,
CKR=/,minuman keras,,,,,,,,,,,,,,,,
CKR[,"mabuk, pemabuk",mabuk,,memabukkan,,bersikap mabuk,memabukkan,,,,,,,,,,
CKWL=/,kehilangan anak,,,,,,,,,,,,,,,,
CKWR/,"mabuk, pemabuk",,,,,,,,,,,,,,,,
CKX[,lupa,melupakan,terlupakan,melupakan,,terlupakan,membuat lupa,,,,,,,,,,
CL/,kecerobohan,,,,,,,,,,,,,,,,
CL>NN/,santai,,,,,,,,,,,,,,,,
CLB/,rangka,,,,,,,,,,,,,,,,
CLB[,cocok,,,,,,,,,,,,,,,,
CLCH/,Silsa,,,,,,,,,,,,,,,,
CLCH=/,Saliesa,,,,,,,,,,,,,,,,
CLCJM/,ketiga,,,,,,,,,,,,,,,,
CLCWM/,"hari, hari-hari",,,,,,,,,,,,,,,,
CLC[,"hari, hari-hari",,,membagi tiga; melakukan pada hari ketiga,berusia tiga tahun; berlipat tiga,,,,,,,,,,,,
CLG/,"salju, bersalju",,,,,,,,,,,,,,,,
CLG=/,"salju, bersalju",,,,,,,,,,,,,,,,
CLH/,Silo,,,,,,,,,,,,,,,,
CLH=/,Selah,,,,,,,,,,,,,,,,
CLHBT/,lidah api,,,,,,,,,,,,,,,,
CLH[,,tenang,lalai,,,,memberi harapan palsu,,,,,,,,,,
CLJ/,ketenangan,,,,,,,,,,,,,,,,
CLJC/,prajurit,,,,,,,,,,,,,,,,
CLJC=/,prajurit,,,,,,,,,,,,,,,,
CLJC==/,prajurit,,,,,,,,,,,,,,,,
CLJCJ/,ketiga,,,,,,,,,,,,,,,,
CLJCJT/,ketiga,,,,,,,,,,,,,,,,
CLJH/,uri,,,,,,,,,,,,,,,,
CLJV/,"aturan, peraturan-peraturan, menguasai, penguasa",,,,,,,,,,,,,,,,
CLK/,kormoran,,,,,,,,,,,,,,,,
CLKT/,Salekhét,,,,,,,,,,,,,,,,
CLKT=/,Salekhét,,,,,,,,,,,,,,,,
CLK[,"mencampakkan, mengusir, membuang",,,,,,melempar,dilempan,,,,,,,,,
CLL/,rampasan,,,,,,,,,,,,,,,,
CLL[,,merampok,,,,dirampok,,,,,dirampok,,,,,,
CLM/,persembahan perdamaian,,,,,,,,,,,,,,,,
CLM=/,Salom,,,,,,,,,,,,,,,,
CLM==/,Silem,,,,,,,,,,,,,,,,
CLM===/,Salom,,,,,,,,,,,,,,,,
CLM====/,Silem,,,,,,,,,,,,,,,,
CLMH/,pembalasan,,,,,,,,,,,,,,,,
CLMH=/,Salomo,,,,,,,,,,,,,,,,
CLMJ/,Silemit,,,,,,,,,,,,,,,,
CLMJ=/,Selomi,,,,,,,,,,,,,,,,
CLMJ>L/,Selumiel,,,,,,,,,,,,,,,,
CLMJH/,Selemya,,,,,,,,,,,,,,,,
CLMJT/,Selomit,,,,,,,,,,,,,,,,
CLMN/,Salmán,,,,,,,,,,,,,,,,
CLMN>SR/,Salmanéser,,,,,,,,,,,,,,,,
CLMWT/,Selomit,,,,,,,,,,,,,,,,
CLM[,membayar,sempurna,,membayar,dibayar,,membuat perdamaian dengan,berdamai dengan,,,,,,,,,
CLNJ/,Selanit,,,,,,,,,,,,,,,,
CLP/,Selef,,,,,,,,,,,,,,,,
CLP[,menarik,,,,,,,,,,,,,,,,
CLV/,"perisai, berperisai",,,,,,,,,,,,,,,,
CLVN/,dominasi,,,,,,,,,,,,,,,,
CLVN=/,dominasi,,,,,,,,,,,,,,,,
CLVT/,sombong,,,,,,,,,,,,,,,,
CLV[,,mendominasi,,,,,memberikan kuasa,,,,,,,,,,
CLW/,lalai,,,,,,,,,,,,,,,,
CLW=/,Silo,,,,,,,,,,,,,,,,
CLWH/,"sejahtera, makmur, menjadi makmur, kemakmuran",,,,,,,,,,,,,,,,
CLWM/,"damai, kedamaian, pembuat perdamaian",,,,,,,,,,,,,,,,
CLWM=/,pembalasan,,,,,,,,,,,,,,,,
CLWM==/,Salum,,,,,,,,,,,,,,,,
CLWN/,Salun,,,,,,,,,,,,,,,,
CLX/,Selah,,,,,,,,,,,,,,,,
CLX=/,Selah,,,,,,,,,,,,,,,,
CLX==/,Selah,,,,,,,,,,,,,,,,
CLX===/,Siloa,,,,,,,,,,,,,,,,
CLXJ/,Silhi,,,,,,,,,,,,,,,,
CLXJM/,Silhim,,,,,,,,,,,,,,,,
CLXJM=/,Silhim,,,,,,,,,,,,,,,,
CLXN/,meja,,,,,,,,,,,,,,,,
CLX[,Absalom,mengirim,dikirim,melepaskan,dilepaskan,,melepaskan ke atas,,,,,,,,,,
CM,di sana,,,,,,,,,,,,,,,,
CM/,nama,,,,,,,,,,,,,,,,
CM</,"kabar, kabar-kabar, terkabar",,,,,,,,,,,,,,,,
CM<=/,Syema,,,,,,,,,,,,,,,,
CM<==/,"kabar, kabar-kabar, terkabar",,,,,,,,,,,,,,,,
CM<===/,Syema,,,,,,,,,,,,,,,,
CM<====/,Syama,,,,,,,,,,,,,,,,
CM<=====/,mendengar,,,,,,,,,,,,,,,,
CM<>/,Syimea,,,,,,,,,,,,,,,,
CM<H/,Syemaa,,,,,,,,,,,,,,,,
CM<H=/,Syimeah,,,,,,,,,,,,,,,,
CM<J/,Simei,,,,,,,,,,,,,,,,
CM<J=/,Simei,,,,,,,,,,,,,,,,
CM<JH/,Syemaya,,,,,,,,,,,,,,,,
CM<NJ/,Simeon,,,,,,,,,,,,,,,,
CM<T/,Shimeat,,,,,,,,,,,,,,,,
CM<TJ/,Shimeati,,,,,,,,,,,,,,,,
CM<WN/,Simeon,,,,,,,,,,,,,,,,
CM<[,"memahami, mengerti, mengerti, pengertian",mendengar; menuruti,terdengar,memanggil,,,membuat terdengar; memanggil,,,,,,,,,,
CM=/,nama,,,,,,,,,,,,,,,,
CM>/,Sama,,,,,,,,,,,,,,,,
CM>BR/,Semeber,,,,,,,,,,,,,,,,
CM>H/,Simea,,,,,,,,,,,,,,,,
CM>M/,Simam,,,,,,,,,,,,,,,,
CMC/,matahari,,,,,,,,,,,,,,,,
CMCJ/,Simsyai,,,,,,,,,,,,,,,,
CMCRJ/,Samsyrai,,,,,,,,,,,,,,,,
CMCWN/,Samson,,,,,,,,,,,,,,,,
CMD[,"hancur, binasa, penghancur, pembinasa",,dihancurkan; diberantas,,,,memberantas,,,,,,,,,,
CMGR/,Samgar,,,,,,,,,,,,,,,,
CMH/,Syamah,,,,,,,,,,,,,,,,
CMH=/,Syamah,,,,,,,,,,,,,,,,
CMHWT/,Syamhut,,,,,,,,,,,,,,,,
CMJ/,Syamay,,,,,,,,,,,,,,,,
CMJD</,Syemida,,,,,,,,,,,,,,,,
CMJD<J/,Syemidai,,,,,,,,,,,,,,,,
CMJM/,"surga, langit, surga, surgawi",,,,,,,,,,,,,,,,
CMJN/,langit,,,,,,,,,,,,,,,,
CMJNJ/,kedelapan,,,,,,,,,,,,,,,,
CMJR/,Syamir,,,,,,,,,,,,,,,,
CMJR=/,Syamir,,,,,,,,,,,,,,,,
CMJR==/,Syamir,,,,,,,,,,,,,,,,
CMJR===/,Syamir,,,,,,,,,,,,,,,,
CMJRMWT/,Syemiramot,,,,,,,,,,,,,,,,
CMM/,"terpencil, perusakan",,,,,,,,,,,,,,,,
CMMH/,"terpencil, perusakan",,,,,,,,,,,,,,,,
CMMH=/,"terpencil, perusakan",,,,,,,,,,,,,,,,
CMMWN/,ketakutan,,,,,,,,,,,,,,,,
CMM[,"terpencil, perusakan",terkejut; menjadi sunyi sepi,dijadikan sunyi sepi; terhenyak,menjadi sunyi sepi; terhenyak,,terkejut,menjadiakan sunyi sepi,kesunyian,,,,,,,,,
CMN/,minyak,,,,,,,,,,,,,,,,
CMN=/,subur,,,,,,,,,,,,,,,,
CMN==/,lemak,,,,,,,,,,,,,,,,
CMNH/,Set,,,,,,,,,,,,,,,,
CMN[,gemuk,gemuk,,,,,membuat gemuk,,,,,,,,,,
CMR/,Semer,,,,,,,,,,,,,,,,
CMR=/,Semer,,,,,,,,,,,,,,,,
CMRH/,terjaga,,,,,,,,,,,,,,,,
CMRJ/,Simri,,,,,,,,,,,,,,,,
CMRJH/,Semarya,,,,,,,,,,,,,,,,
CMRJM/,penjagaan,,,,,,,,,,,,,,,,
CMRJN/,"Samaria, orang Samaria",,,,,,,,,,,,,,,,
CMRJT/,Simrit,,,,,,,,,,,,,,,,
CMRNJ/,Simroni,,,,,,,,,,,,,,,,
CMRT/,Simrat,,,,,,,,,,,,,,,,
CMRWN=/,Simron,,,,,,,,,,,,,,,,
CMRWN==/,Simron,,,,,,,,,,,,,,,,
CMRWN_MR>WN/,Simron Meron,,,,,,,,,,,,,,,,
CMR[,"menonton, mengawasi, menyaksikan, penjaga",menjaga; berjaga-jaga,terjaga; berhati-hati,menyembah,,berhati-hati,,,,,,,,,,,
CMTJ/,Sumatiti,,,,,,,,,,,,,,,,
CMVH/,tahun sabat,,,,,,,,,,,,,,,,
CMV[,"tersandung, terantuk, terbentur, kesandung",melepaskan; mengabaikan,ditumbangkan,,,,menyebabkan pelepasan,,,,,,,,,,
CMW</,Syamua,,,,,,,,,,,,,,,,
CMW<H/,"kabar, kabar-kabar, terkabar",,,,,,,,,,,,,,,,
CMW>L/,Samuel,,,,,,,,,,,,,,,,
CMWT/,Syamot,,,,,,,,,,,,,,,,
CMY/,bisikan,,,,,,,,,,,,,,,,
CMYH/,"mengejek, diejek, ejekan, pengejek",,,,,,,,,,,,,,,,
CN/,gigi,,,,,,,,,,,,,,,,
CN<R/,Sinear,,,,,,,,,,,,,,,,
CN=/,gigi,,,,,,,,,,,,,,,,
CN>B/,Sinab,,,,,,,,,,,,,,,,
CN>N/,seribu,,,,,,,,,,,,,,,,
CN>YR/,Shenazar,,,,,,,,,,,,,,,,
CNH/,"tahun, tahun-tahun",,,,,,,,,,,,,,,,
CNH=/,tidur,,,,,,,,,,,,,,,,
CNHBJM/,gading,,,,,,,,,,,,,,,,
CNH[,"sesat, secara sesat",berubah; mengulangi; berbeda,diulangi,mengubah,berubah,menyamar,,,,,,,,,,,
CNJ/,kedua,,,,,,,,,,,,,,,,
CNJ=/,kirmizi,,,,,,,,,,,,,,,,
CNJM/,dua,,,,,,,,,,,,,,,,
CNJNH/,ejekan,,,,,,,,,,,,,,,,
CNN=[,mengajarkan,,,,,,,,,,,,,,,,
CNN[,mengajarkan,menajamkan,,,,merasakan tertusuk,,,,,,,,,,,
CNS[,"melilitkan, diikat",,,,,,,,,,,,,,,,
CP</,kelimpahan,,,,,,,,,,,,,,,,
CP<H/,kelimpahan,,,,,,,,,,,,,,,,
CP<J/,Siffi,,,,,,,,,,,,,,,,
CPH[,,,terbuka telanjang,,diungkap,,,,,,,,,,,,
CPJ/,tepi,,,,,,,,,,,,,,,,
CPJ=/,tepi,,,,,,,,,,,,,,,,
CPJM/,Shupim,,,,,,,,,,,,,,,,
CPJPN/,ular,,,,,,,,,,,,,,,,
CPJR/,Shafir,,,,,,,,,,,,,,,,
CPK/,tempat abu,,,,,,,,,,,,,,,,
CPKH/,kelamin,,,,,,,,,,,,,,,,
CPK[,tumpah,menuangkan,tumpah,,tumpah,tumpah,,,,,,,,,,,
CPL/,"rendah, kerendahan",,,,,,,,,,,,,,,,
CPL==/,"malu, memalukan, merasa malu, dipermalukan",,,,,,,,,,,,,,,,
CPLH/,kerendahan,,,,,,,,,,,,,,,,
CPLH=/,bpiedmont,,,,,,,,,,,,,,,,
CPLWT/,kelalaian,,,,,,,,,,,,,,,,
CPL[,,rendah,,,,,merendahkan,,,,,,,,,,
CPM/,Shefam,,,,,,,,,,,,,,,,
CPM=/,Shafam,,,,,,,,,,,,,,,,
CPMJ/,Shifmi,,,,,,,,,,,,,,,,
CPN/,pika,,,,,,,,,,,,,,,,
CPN=/,pika,,,,,,,,,,,,,,,,
CPR/,keindahan,,,,,,,,,,,,,,,,
CPR=/,keindahan,,,,,,,,,,,,,,,,
CPRH/,Shifra,,,,,,,,,,,,,,,,
CPRH=/,Shifra,,,,,,,,,,,,,,,,
CPRPR/,fajar,,,,,,,,,,,,,,,,
CPV/,"Menghakimi, penghakiman",,,,,,,,,,,,,,,,
CPV=/,Shafat,,,,,,,,,,,,,,,,
CPVJH/,Shefatya,,,,,,,,,,,,,,,,
CPVN/,Shiftan,,,,,,,,,,,,,,,,
CPV[,"Menghakimi, penghakiman",menghakimi,berperkara,,,,,,,,,,,,,,menjadi lawan
CPW/,Syefo,,,,,,,,,,,,,,,,
CPWPM/,Shefupam,,,,,,,,,,,,,,,,
CPWV/,penghakiman,,,,,,,,,,,,,,,,
CPXH/,"memperbudak, diperbudak, hamba, budak",,,,,,,,,,,,,,,,
CQ/,betis,,,,,,,,,,,,,,,,
CQ<RWRH/,cekungan,,,,,,,,,,,,,,,,
CQ<[,tenggelam,merosot,tenggelam,,,,menahan,,,,,,,,,,
CQD/,badam,,,,,,,,,,,,,,,,
